Topic	Text
Candidates on how they would address undocumented immigrants	Because she has decided for that child to remain where they are is worse.
Candidates on how they would address undocumented immigrants	But what does Donald Trump do?
Candidates on how they would address undocumented immigrants	He says go back to where you came from.
Candidates on how they would address undocumented immigrants	That is not reflective of our America and our values and it has got to end.
	
Sen. Harris dramatically confronts Biden on his civil rights record	Okay.
Sen. Harris dramatically confronts Biden on his civil rights record	So, on the issue of race, I couldn’t agree more that this is an issue that is still not being talked about truthfully and honestly.
Sen. Harris dramatically confronts Biden on his civil rights record	I–there is not a black man I know, be he a relative, a friend or a coworker who has not been the subject of some form of profiling or discrimination.
Sen. Harris dramatically confronts Biden on his civil rights record	Growing up, my sister and I had to deal with the neighbor who told us her parents couldn’t play with us because she–because we were black.
Sen. Harris dramatically confronts Biden on his civil rights record	And I will say also that–that in this campaign, we’ve also heard–and I’m going to now direct this to Vice President Biden.
Sen. Harris dramatically confronts Biden on his civil rights record	I do not believe you are a racist and I agree with you when you commit yourself to the importance of finding common ground.
	
Klobuchar's rivals programs	Well, first, the economy.
Klobuchar's rivals programs	We know that not everyone is sharing in this prosperity.
Klobuchar's rivals programs	And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.
Klobuchar's rivals programs	So I do get concerned about paying for college for rich kids.
Klobuchar's rivals programs	I do.
Klobuchar's rivals programs	But I think my plan is a good one.
Klobuchar's rivals programs	And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.
Klobuchar's rivals programs	My own dad and my sister got their first degrees with community college.
Klobuchar's rivals programs	There’s many paths to success, as well as certifications.
Klobuchar's rivals programs	Secondly, I’d used Pell grants.
Klobuchar's rivals programs	I’d double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.
Klobuchar's rivals programs	And then the third thing I would do is make it easier for students to pay off their student loans.
Klobuchar's rivals programs	Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.
	
Top tax rate	This economy has got to work for everyone.
Top tax rate	And right now, we know that it isn’t.
Top tax rate	And it’s going to take all of us coming together to make sure that it does.
Top tax rate	(SPEAKING IN SPANISH) Right now, we have a system that favors those who can pay for access and outcomes.
Top tax rate	That’s how you explain an economy that is rigged to corporations and to the very wealthiest.
Top tax rate	A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.
Top tax rate	A new democracy that is revived because we’ve returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now…
	
breaking up of tech companies	I don’t think I disagree.
breaking up of tech companies	I think we have a serious problem in our country with corporate consolidation.
breaking up of tech companies	And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage.
breaking up of tech companies	We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs.
breaking up of tech companies	And you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete.
breaking up of tech companies	One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector.
breaking up of tech companies	So I feel very strongly about the need to check the corporate consolidation and let the free market work.
breaking up of tech companies	And I’ll tell you this.
breaking up of tech companies	I live in a low-income black and brown community.
breaking up of tech companies	I see every single day that this economy is not working for average Americans.
breaking up of tech companies	The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community.
breaking up of tech companies	It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.
	
Gender Pay gap	Thank you very much for that question, Lester.
Gender Pay gap	You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent.
Gender Pay gap	And I know what it’s like to struggle.
Gender Pay gap	I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women.
Gender Pay gap	I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country.
Gender Pay gap	And also pursue legislation so that women are paid equal pay for equal work in this country.
Gender Pay gap	It’s past time that we did that.
Gender Pay gap	And, you know, we have to do this.
Gender Pay gap	If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.
	
Income Inequality	Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives.
Income Inequality	But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party.
Income Inequality	I want to make it clear.
Income Inequality	This is supposed to be the party of working people.
Income Inequality	Yes, we’re supposed to be for a 70 percent tax rate on the wealthy.
Income Inequality	Yes, we’re supposed to be for free college, free public college, for our young people.
Income Inequality	We are supposed to break up big corporations when they’re not serving our democracy.
Income Inequality	This Democratic Party has to be strong and bold and progressive.
Income Inequality	And in New York, we’ve proven that we can do something very different, we can put money back in the hands of working people.
Income Inequality	And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money.
Income Inequality	What I say to them every single time is, there’s plenty of money in this world, there’s plenty of money in this country.
Income Inequality	It’s just in the wrong hands.
Income Inequality	Democrats have to fix that.
Income Inequality	(APPLAUSE)
	
Manufacturing Jobs	Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio.
Manufacturing Jobs	And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility.
Manufacturing Jobs	That rippled throughout our community.
Manufacturing Jobs	General Motors got a tax cut.
Manufacturing Jobs	General Motors got a bailout.
Manufacturing Jobs	And then they have the audacity to move a new car that they’re going to produce to Mexico.
Manufacturing Jobs	I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China.
Manufacturing Jobs	My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years.
Manufacturing Jobs	This is not a new phenomenon in the United States of America.
Manufacturing Jobs	The bottom 60 percent haven’t seen a raise since 1980.
Manufacturing Jobs	Meanwhile, the top 1 percent control 90 percent of the wealth.
Manufacturing Jobs	We need an industrial policy saying we’re going to dominate building electric vehicles, there’s going to be 30 million made in the next 10 years.
Manufacturing Jobs	I want half of them made in the United States.
Manufacturing Jobs	I want to dominate the solar industry…
	
Healthcare	Well, I think it’s a bold approach.
Healthcare	It’s something that Barack Obama wanted to do when we were working on the Affordable Care Act.
Healthcare	And that is a public option.
Healthcare	I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says.
Healthcare	So let me go on beyond that.
Healthcare	There is a much bigger issue in addition to that, and that is pharmaceuticals.
Healthcare	The president literally went on TV, on Fox, and said that people’s heads would spin when they see how much he would bring down pharmaceutical prices.
Healthcare	Instead, 2,500 drugs have gone up in double-digits since he came into office.
Healthcare	Instead, he gave $100 billion in giveaways to the pharma companies.
Healthcare	For the rest of us, for the rest of America, that’s what we call at home all foam and no beer.
Healthcare	We got nothing out of it.
Healthcare	And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries.
Healthcare	And pharma thinks they own Washington?
Healthcare	Well, they don’t own me.
	
Abortion	It should not be an option in the United States of America for any insurance company to deny a woman coverage for their exercise of their right of choice.
Abortion	And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health in health insurance, and I’m the only candidate who has passed a public option.
Abortion	And I respect everybody’s goals and plans here, but we do have one candidate that’s actually advanced the ball.
Abortion	And we’ve got to have access for everyone.
Abortion	I’ve done it as a public option.
	
Opiod Crisis	They should absolutely be held criminally liable, because they are liable and responsible.
Opiod Crisis	This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies, not take contributions from corporate PACs, or pharma executives, because they are part of this problem.
Opiod Crisis	And this opioid addiction in our country, we in cities like mine have been seeing how we’ve tried to arrest our way out of addiction for too long.
Opiod Crisis	It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.
	
Undocumented Immigrants	Thank you very much, Jose.
Undocumented Immigrants	I’m very proud that in April I became the first candidate to put forward a comprehensive immigration plan.
Undocumented Immigrants	And we saw those images… … watching that image of Oscar and his daughter, Valeria, is heartbreaking.
Undocumented Immigrants	It should also piss us all off.
Undocumented Immigrants	If I were president today — and it should spur us to action.
Undocumented Immigrants	If I were president today, I would sign an executive order that would get rid of Trump’s zero-tolerance policy, the remain in Mexico policy, and the metering policy — this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river.
Undocumented Immigrants	They had been playing games with people who are coming and trying to seek asylum at our ports of entry.
Undocumented Immigrants	Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river, and they died because of that.
	
Iran Nuclear Deal	May I address that?
Iran Nuclear Deal	First and foremost, it was a mistake to pull out of that deal.
Iran Nuclear Deal	And one of the reasons why we’re seeing this hostility now is because Donald Trump is marching us to a far more dangerous situation.
Iran Nuclear Deal	Literally, he took us out of a deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10, 20 years.
Iran Nuclear Deal	And now we see Iran threatening to go further and who are pulled — being pulled further and further into this crisis.
Iran Nuclear Deal	We need to renegotiate and get back into a deal, but I’m not going to have a primary platform to say unilaterally I’m going to rejoin that deal.
Iran Nuclear Deal	Because when I’m president of the United States, I’m going to do the best I can to secure this country and that region and make sure that if I have an opportunity to leverage a better deal, I’m going to do it.
	
Supreme Court Nominees	I’m going to use 20 of my seconds just to say there’s one thing we don’t all agree with when it comes to guns, and I think it’s common sense, and over 70 percent of Americans agree with me.
Supreme Court Nominees	If you need a license to drive a car, you should need a license to buy and own a firearm.
Supreme Court Nominees	And not everybody in this field agrees with that.
Supreme Court Nominees	But in states like Connecticut that did that, they saw 40 percent drops in gun violence and 15 percent drops in suicides.
Supreme Court Nominees	We need to start having bold agendas on guns.
Supreme Court Nominees	When it comes to the Supreme Court, very clearly, we — I agree with my friend, Secretary Castro.
Supreme Court Nominees	We are going to get to 50 votes in the Senate.
Supreme Court Nominees	This is a team sport.
Supreme Court Nominees	Whoever is our nominee needs to campaign in places like South Carolina, because we can elect Jamie Harrison.
Supreme Court Nominees	They need to campaign in places like Iowa, because we can win a Senate seat there.
Supreme Court Nominees	This is about getting us back to having 50 votes in the Senate and more so that we cannot only balance the Supreme Court, but start to pass an aggressive agenda that, frankly, isn’t so aggressive, because most of America agrees with the policy objectives of our party.
	
LGBTQ	Let me say that there is no one in our government at any level who has the right to tell any American who they should be allowed to love or who they should be allowed to marry.
LGBTQ	My record in Congress for over six years shows my commitment to fighting for LGBTQ equality.
LGBTQ	I serve on the Equality Caucus and recently voted for passage of the Equality Act.
LGBTQ	Maybe many people in this country can relate to the fact that I grew up in a socially conservative home, held views when I was very young that I no longer hold today.
LGBTQ	I’ve served with LGBTQ servicemembers, both in training and deployed downrange.
LGBTQ	I know that they would give their life for me and I would give my life for them.
LGBTQ	It is this commitment that I’ll carry through as president of the United States, recognizing that there are still people who are facing discrimination in the workplace, still people who are unable to find a home for their families.
LGBTQ	It is this kind of discrimination that we need to address.
	
Foreign Policy	John, appreciate the question.
Foreign Policy	The answer is yes, but that action should always be undertaken with allies and partners and friends.
Foreign Policy	When the United States presents a united front, we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer, the kind of genocide that we saw in Rwanda, the kind of genocide we want to stop going forward.
Foreign Policy	But unfortunately, under this administration, President Trump has alienated our allies and our friends and our alliances.
Foreign Policy	He’s diminished our standing in the world and he’s made us weaker as a country, less able to confront challenges, whether it’s Iran or North Korea or Vladimir Putin in Russia, who attacked and invaded our democracy in 2016, and who President Trump has offered another invitation to do the same.
Foreign Policy	He’s embraced strongmen and dictators at the expense of the great democracies.
Foreign Policy	As president, I will make sure that we live our values in our foreign policy.
Foreign Policy	I will ensure that we strengthen those alliances and partnerships and friendships and meet any challenge that we face together.
Foreign Policy	That makes America stronger.
	
Opening statements	Well, you are quite right.
Opening statements	We have a new vision for America and at a time when we have three people in this country owning more wealth than the bottom half of America, while 500,000 people are sleeping out on the streets today we think it is time for change, real change.
Opening statements	And by that I mean that healthcare in my view is a human right and we have got to pass a Medicare for all single-payer system.
Opening statements	Under that system by the way vast majority of the people in this country will be paying significantly less for healthcare than they are right now.
Opening statements	I believe that education is the future for this country and that is why I believe that we must make public colleges and universities tuition-free and eliminate student debt and we do that by placing a tax on Wall Street.
Opening statements	Every proposal that I have brought forth is fully paid for.
	
Biden addresses income inequality	What I meant by that is look, Donald Trump thinks Wall Street built America.
Biden addresses income inequality	Ordinary middle-class Americans built America.
Biden addresses income inequality	My dad used to have an expression he said Joe a job is about a lot more than a paycheck; it’s about your dignity, it’s about respect, it’s being able to look your kid in the eye and say everything’s going to be okay.
Biden addresses income inequality	Too many people who are in the middle class and poor have had the bottom fall out under this proposal.
Biden addresses income inequality	What I am saying is that we’ve got to be straightforward.
Biden addresses income inequality	We have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it.
Biden addresses income inequality	They have to make sure that we (INAUDIBLE) situation where there’s continuing education and they are able to pay for it and they have to make sure that they are able to breathe air that is–is–is clean and they–they have water that they can drink.
Biden addresses income inequality	Look, Donald Trump has put us in a horrible situation.
Biden addresses income inequality	We do have enormous income inequality and one thing I agree honestly can make massive cuts in the $1.6 trillion in tax loopholes out there and I would be going about eliminating Donald Trump’s tax cuts for the wealthy.
	
Sen. Harris on whether candidates should explain how to pay for their proposals	Well, let me tell you something.
Sen. Harris on whether candidates should explain how to pay for their proposals	I–I hear that question, but where was that question when the Republicans and Donald Trump passed a tax bill that–that benefits the top 1 percent and—the biggest corporations in the–this country, contributing at least a–$1 trillion to the debt of America, which middle-class families will pay for one way or another.
Sen. Harris on whether candidates should explain how to pay for their proposals	Working families need support and need to be lifted up, and frankly this economy is not working or working people.
Sen. Harris on whether candidates should explain how to pay for their proposals	For too long, the rules have been written in the favor of the people who have the most and not in favor of the people who work the most, which why I am proposing that we change the tax code so, for every family that is making less than $100,000 year, they will receive a tax credit that they can collect, up to $500 a month, which will make all the difference between those families being able to get through the end of the month with dignity and was support or not.
Sen. Harris on whether candidates should explain how to pay for their proposals	And on day one, I will repeal that tax bill that benefits the top 1 percent and the biggest corporations in America.
	
Candidates are asked about ‘socialism’	Well, I think that the bottom line is, if we don’t clearly define that we are not socialists, the Republicans are going to come at us every way they can and–and call us socialists.
Candidates are asked about ‘socialism’	And if you look at the Green New Deal, which I admire the sense of urgency and how important it is to do climate change, I’m a scientist, but we can’t promise every American a government job if you want to get universal healthcare coverage.
Candidates are asked about ‘socialism’	I believe that healthcare is a right and not a privilege, but you can’t expect to eliminate private insurance for 180 million people, many of whom don’t want to give it up.
Candidates are asked about ‘socialism’	In Colorado, we brought businesses and nonprofits together.
Candidates are asked about ‘socialism’	We got to near universal healthcare coverage.
Candidates are asked about ‘socialism’	We were the first state in America to–to bring the environmental community and the oil and gas industry to address, aggressively address methane emissions.
Candidates are asked about ‘socialism’	And we were also the first place to–to expand reproductive rights on a scale basis that we reduced teen pregnancy by 54 percent.
Candidates are asked about ‘socialism’	We’ve done the big progressive things people said it couldn’t be done.
Candidates are asked about ‘socialism’	I’ve done what pretty much everyone else up here is still talking about doing.
	
Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	I got $100,000 in student loan debt myself.
Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	I tell you–if I count on the people who have been in government for the past 30 years who were around when this problem was created to be the ones to solve it it is going to be the next generation, the 40 million of us who can’t start a family.
Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	Can’t take a good idea and start a business and can’t buy our first home.
Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	This is the generation that’s going to be able to solve student loan debt.
Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	This generation is ready to lead.
	
Sen. Harris’ ‘food fight’ moment	Hey, guys.
Sen. Harris’ ‘food fight’ moment	You know what?
Sen. Harris’ ‘food fight’ moment	America does not want to witness a food fight.
Sen. Harris’ ‘food fight’ moment	They want to know how we’re going to put food on their table.
Sen. Harris’ ‘food fight’ moment	So, on that point, part of the issue that is at play in America today, and we’ve all been traveling around the country, I certainly have, I’m meeting people who are working two and three jobs.
Sen. Harris’ ‘food fight’ moment	You know, this president walks around talking about and flouting his great economy, right?
Sen. Harris’ ‘food fight’ moment	My great economy.
Sen. Harris’ ‘food fight’ moment	My great economy.
Sen. Harris’ ‘food fight’ moment	You ask him, well, how are you measuring this greatness of this economy of yours and he talks about the stock market.
Sen. Harris’ ‘food fight’ moment	Well, that’s fine if you own stocks.
Sen. Harris’ ‘food fight’ moment	So many families in America do not.
Sen. Harris’ ‘food fight’ moment	You ask him how are you measuring the greatness of this economy of yours and they point to the jobless numbers and the unemployment numbers.
Sen. Harris’ ‘food fight’ moment	Well, yeah, people in America are working.
Sen. Harris’ ‘food fight’ moment	They’re working two and three jobs.
Sen. Harris’ ‘food fight’ moment	So, when we talk about jobs, let’s be very clear.
Sen. Harris’ ‘food fight’ moment	In our America, no one should have to work more than one job to have a roof over their head and food on the table.
	
Yang and Mayor Buttigieg on concerns about China	Well, I just want to agree that I think Russia is our biggest geopolitical threat because they’ve been hacking our democracy successfully.
Yang and Mayor Buttigieg on concerns about China	They’ve been laughing their asses off about it for the last couple of years and we should focus on that before we start worrying about other threats.
Yang and Mayor Buttigieg on concerns about China	Now, China, they do–they do (INAUDIBLE) property.
Yang and Mayor Buttigieg on concerns about China	It’s a massive problem.
Yang and Mayor Buttigieg on concerns about China	But the tariffs and the trade war are just punishing businesses and producers and workers on both sides.
Yang and Mayor Buttigieg on concerns about China	I met with a farmer in Iowa who said he spent six years building up a buying relationship in China that’s now disappeared and gone forever.
Yang and Mayor Buttigieg on concerns about China	And the beneficiaries have not been American workers or–or people in China.
Yang and Mayor Buttigieg on concerns about China	It’s been Southeast Asia and other producers that have then stepped into the void.
Yang and Mayor Buttigieg on concerns about China	So, we need to–to crack down on Chinese malfeasance in the trade relationship but the tariffs and the trade war are the wrong way to go.
	
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	Because I couldn’t get it done.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	My community is in anguish right now because of an officer involved shooting.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	A black man Eric Logan killed by a white officer.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And I’m not allowed to take sides until the investigation comes back.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	The officer says he was attacked with a knife, but he didn’t have his body camera on.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	It’s a mess.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And we’re hurting.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And I could walk you through all of the things that we have done as a community–all of the steps that we took from bias training to de-escalation but it didn’t save the life of Eric Logan.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And when I look into his mother’s eyes I have to face the fact and nothing that I say will bring him back.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	This is an issue that is facing our community and so many communities around the country.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And until we move policing out from the shadow of systemic racism whatever this particular incident teaches us we will be left with the bigger problem of the fact that there is a wall of mistrust put up one racist act at a time.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	Not just from what has happened in the past but what’s happening around the country in the present.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	It threatens the well being of every community.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	And I am determined to bring about a day when a white person driving a vehicle and a black person driving a vehicle when they see a police officer approaching feels the exact same thing.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	A feeling not of fear but of safety.
Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	I’m determined to bring that day about.
	
Candidates comment on diversity	No, absolutely not.
Candidates comment on diversity	Unlike the Republican party we encourage diverse city, we believe in diverse city, that is what America is up about.
Candidates comment on diversity	But in addition to diversity in terms of having more women, more people from the GB–L–LGBT community we also have to do something else and that is we have to ask ourselves a simple question and that how come to day the worker in the middle of our economy is making no more money than he or she made 45 years ago and that in the last 30 years the top 1 percent has seen a $21 trillion increase in their wealth.
Candidates comment on diversity	We need a party that is diverse but we need a party that has the guts to stand up to the powerful special interest who have so much power over the economic and political life of this country.
	
Candidates on bridging the partisan divide and working with Mitch McConnell	Gridlock will not magically disappear as long as Mitch McConnell is there, first.
Candidates on bridging the partisan divide and working with Mitch McConnell	Second, second, that is why it is so important for us to when not just the presidency to have somebody that can run in all 50 states but to–but to win the Senate as well and that is why we have to propose policies that can be supported like Medicare X (PH) so that we can build a broad coalition of Americans to overcome broken Washington DC.
