Topic	Text
Mitch McConnell	Senator Booker, 30 seconds.
Mitch McConnell	You — how do you deal with Mitch?
Mitch McConnell	You’ve been in the Senate.
Mitch McConnell	You can’t get bills on the floor right now with Mitch McConnell.
Mitch McConnell	Presidents can’t do it.
Mitch McConnell	Is President Booker going to get his bills on the floor with Senator McConnell?
Mitch McConnell	You know, when I got to the United States Senate, going back to what De Blasio said, as an African-American man in an African-American-dominated community, I knew one of the biggest issue was criminal justice reform, from police accountability to dealing with the fact that we have a nation that has more African-Americans under criminal supervision than all the slaves in 1850.
Mitch McConnell	And when I got to the Senate, people told me we could not get a comprehensive criminal justice reform bill done.
Mitch McConnell	As my colleagues in the Senate know, I fought on that bill from the day I got to the Senate, built coalitions across the aisle, and today we passed the First Step Act.
Mitch McConnell	It’s not as far as I want to go, but thousands of people will be liberated.
Mitch McConnell	I have gotten — I have taken on tough problems people said we cannot achieve, and I’ve been able to get things accomplished.
Mitch McConnell	Thank you, Senator Booker.
Mitch McConnell	Rachel has got the next question.
	
Climate Change	Governor Inslee, thank you.
Climate Change	Congressman O’Rourke, you also put out a big climate change plan from your campaign.
Climate Change	You want some big changes in a pretty short period of time, including switching to renewable energy, pushing to replace gas-powered cars in favor of electric ones.
Climate Change	What’s your message to a voter who supports the overall goal of what you’re trying to do, but suddenly feels as if government’s telling them how to live and ordering them how to live?
Climate Change	What is that balance like?
Climate Change	I think you’ve got to bring everybody in to the decisions and the solutions to the challenges that we face.
Climate Change	That’s why we’re traveling everywhere, listening to everyone.
Climate Change	We were in Pacific Junction, a town that had never meaningly flooded before, just up against the Missouri River in Iowa.
Climate Change	And every home in that community had flooded.
Climate Change	There were farms just outside of Pacific Junction that were effectively lakes, those farmers already underwater in debt, their markets closed to them by a trade war under this administration, and now they don’t know what to do.
Climate Change	We in our administration are going fund resiliency in those communities, in Miami, in Houston, Texas, those places that are on the front lines of climate change today.
Climate Change	We’re going to mobilize $5 trillion in this economy over the next 10 years.
Climate Change	We’re going to free ourselves from a dependence on fossil fuels, and we’re going to put farmers and ranchers in the driver’s seat, renewable and sustainable agriculture, to make sure that we capture more carbon out of the air and keep more of it in the soil, paying farmers for the environmental services that they want to provide.
Climate Change	If all of us does all that we can, then we’re going to be able to keep this planet from warming another 2 degrees Celsius, and ensure that we match what this country can do and live up to our promise and our potential.
Climate Change	Thirty seconds, Secretary Castro, does — who pays for the mitigation to — to climate, whether it’s building sea walls, for people that are perhaps living in places that they shouldn’t be living?
Climate Change	Is this a federal government issue that needs to do that?
Climate Change	Do they have to move these people?
Climate Change	What do you do about that, where maybe they’re building a place someplace that isn’t safe?
Climate Change	Who pays to build that house?
Climate Change	And how much should the government be bailing them out?
Climate Change	Well, I don’t think that that represents the vast majority of the issue.
Climate Change	In fact, you know, my first visit after I announced my candidacy wasn’t to Iowa or New Hampshire.
Climate Change	It was to San Juan, Puerto Rico.
Climate Change	Because people should know that if I’m elected president, everybody will count.
Climate Change	And, you know, I’m one of the few candidates in this race with executive experience, with a track record of getting things done.
Climate Change	When I was mayor of San Antonio, we moved our local public utility, we began to shift it from coal-fired plants to solar and other renewables, and also created more than 800 jobs doing that.
Climate Change	And when I was HUD secretary, we worked on the National Disaster Resilience Competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way.
Climate Change	That’s the way that we’re going to help make sure that we’re all safer in the years to come and that we combat climate change.
Climate Change	Thank you.
Climate Change	And if I’m elected president, the first thing that I would do, like Senator Klobuchar also has said, is sign an executive order recommitting us to the Paris Climate Accord so that we lead again…
Climate Change	All right.
Climate Change	Congressman Ryan, I got a full question for you here, which is simply this.
Climate Change	There are — a lot of the climate plans include pricing carbon, taxing carbon in some way.
Climate Change	This type of proposal has been tried in a few places, whether it’s Washington state where voters voted it down, you’ve had the Yellow Vest Movement, we had in Australia one party get rejected out of fear of the cost of climate change sort of being put on the backs of the consumer.
Climate Change	If pricing carbon is just politically impossible, how do we pay for climate mitigation?
Climate Change	Well, there is a variety of different ways to pay.
Climate Change	We talked about different ways of raising revenue.
Climate Change	And I think we’ve got to build our way out of this and grow our way out of this.
Climate Change	But let me just talk real quick to the previous question about real politics.
Climate Change	We could talk about climate, we could talk about guns, we could talk about all of these issues that we all care about.
Climate Change	We have a perception problem with the Democratic Party.
Climate Change	We are not connecting to the working class people in the very states that I represent in Ohio, in the industrial Midwest.
Climate Change	We’ve lost all connection.
Climate Change	We have got to change the center of gravity of the Democratic Party from being coastal and elital — elitist and Ivy League, which is the perception, to somebody from the forgotten communities that have been left behind for the last 30 years, to get those workers back on our side so we can say we’re going to build electric vehicles, we’re going to build solar panels.
Climate Change	But if you want to beat Mitch McConnell, this better be a working-class party.
Climate Change	If you want to go into Kentucky and take his rear end out, and if you want to take Lindsey Graham out, you’ve got to have a blue collar party that can go into the textile communities in South Carolina.
Climate Change	So all I’m saying here…
Climate Change	Thank you, Congressman Ryan.
Climate Change	All I’m saying here…
Climate Change	Thank you, Congressman Ryan.
Climate Change	So, Chuck, Chuck…
Climate Change	All I’m saying is here, if we don’t address that fundamental problem with our connection to workers — white, black, brown, gay, straight — working-class people…
Climate Change	Thank you, Congressman.
Climate Change	… none of this is going to get done, Chuck.
Climate Change	Thank you very much.
Climate Change	Chuck…
Climate Change	I want to you — we’re going to keep moving.
Climate Change	Congressman Delaney, I’m going to get to you…
Climate Change	This is — I introduced the only bipartisan carbon tax bill…
Climate Change	Thirty seconds — all right, 30 seconds, go.
Climate Change	This is really important.
Climate Change	All the economists agree that a carbon pricing mechanism works.
Climate Change	You just have to do it right.
Climate Change	You can’t put a price on carbon, raise energy prices, and not give the money back to the American people.
Climate Change	My proposal, which is put a price on carbon, give a dividend back to the American people.
Climate Change	It goes out one pocket, back in the other.
Climate Change	Thank you, Congressman.
Climate Change	I can get that passed my first year as president with a coalition of every Democrat in the Congress and the Republicans who live in coastal states.
Climate Change	Thank you.
Climate Change	Congressman, thank you.
Climate Change	Because Republicans in Florida, they actually care about this issue.
Climate Change	OK.
Climate Change	Thank you very much.
Climate Change	This has got to be our way forward if we’re actually serious about this issue.
	
Biggest Geopolitical Threat	I want to go down the line here, finish up foreign policy.
Biggest Geopolitical Threat	It’s a simple question.
Biggest Geopolitical Threat	What is our — what is the biggest threat — what is — who is the geopolitical threat to the United States?
Biggest Geopolitical Threat	Just give me a one-word answer, Congressman Delaney.
Biggest Geopolitical Threat	Could you repeat the question?
Biggest Geopolitical Threat	Greatest geopolitical threat to the United States right now.
Biggest Geopolitical Threat	Congressman Delaney?
Biggest Geopolitical Threat	Well, the biggest geopolitical challenge is China.
Biggest Geopolitical Threat	But the biggest geopolitical threat remains nuclear weapons.
Biggest Geopolitical Threat	OK.
Biggest Geopolitical Threat	Right, so those are — you know, those are different questions.
Biggest Geopolitical Threat	I got you.
Biggest Geopolitical Threat	Totally get it.
Biggest Geopolitical Threat	Go ahead.
Biggest Geopolitical Threat	Governor Inslee?
Biggest Geopolitical Threat	The biggest threat to the security of the United States is Donald Trump.
Biggest Geopolitical Threat	And there’s no question about it.
Biggest Geopolitical Threat	Congresswoman Gabbard?
Biggest Geopolitical Threat	The greatest…
Biggest Geopolitical Threat	Greatest geopolitical threat.
Biggest Geopolitical Threat	The greatest threat that we face is the fact that we’re in a greater risk of nuclear war today than ever before in history.
Biggest Geopolitical Threat	Senator Klobuchar?
Biggest Geopolitical Threat	Two threats, economic threat, China, but our major threat right now is what’s going in the Mideast with Iran, if we don’t get…
Biggest Geopolitical Threat	OK, try to keep it at one — slimmer than what we’ve been going here.
Biggest Geopolitical Threat	One or two words.
Biggest Geopolitical Threat	Our existential threat is climate change.
Biggest Geopolitical Threat	We have to confront it before it’s too late.
Biggest Geopolitical Threat	Senator Warren?
Biggest Geopolitical Threat	Climate change.
Biggest Geopolitical Threat	Yeah.
Biggest Geopolitical Threat	Senator Booker?
Biggest Geopolitical Threat	Nuclear proliferation and climate change.
Biggest Geopolitical Threat	Secretary Castro?
Biggest Geopolitical Threat	China and climate change.
Biggest Geopolitical Threat	Congressman Ryan?
Biggest Geopolitical Threat	China, without a question.
Biggest Geopolitical Threat	They’re wiping us around the world economically.
Biggest Geopolitical Threat	And Mr. Mayor?
Biggest Geopolitical Threat	BLASIO: Russia, because they’re trying to undermine our democracy and they’ve been doing a pretty damn good job of it, and we need to stop them.
Biggest Geopolitical Threat	All right.
Biggest Geopolitical Threat	Well, thank you for that wide variety of answers, and I mean that.
Biggest Geopolitical Threat	No, I mean that in — that’s what this debate is about.
Biggest Geopolitical Threat	This is the best part of a debate like this.
Biggest Geopolitical Threat	Congressman O’Rourke, Special Counsel Robert Mueller’s report outlines multiple instances of potential criminal behavior by President Trump.
Biggest Geopolitical Threat	House Speaker Pelosi has publicly and privately resisted any move toward impeachment in the House.
Biggest Geopolitical Threat	If the House chooses not to impeach, as president, would you do anything to address the potential crimes that were outlined in Mr. Mueller’s report?
	
Impeachment	Thank you, Congressman O’Rourke.
Impeachment	Congressman Delaney, because of the accountability issues that Congressman O’Rourke was just describing there and the real political landscape in which Nancy Pelosi is saying that impeachment will not be pursued in the House, it raises the prospect — and the Mueller Report raises the prospect that President Trump could be prosecuted for some of those potential crimes down the line.
Impeachment	No U.S. president has ever been prosecuted for crimes after leaving office.
Impeachment	Do you believe that President Trump could or should be the first?
Impeachment	I guess there’s always a first.
Impeachment	Should he be?
Impeachment	I don’t think anyone is above the law.
Impeachment	I don’t think anyone is above the law, including a president.
Impeachment	I support Speaker Pelosi’s decisions that she is making in the House of Representatives right now as speaker.
Impeachment	I think she knows more about the decision as to whether to impeach the president than any of the 2020 candidates combined.
Impeachment	Conceded.
Impeachment	On the issue of prosecution…
Impeachment	So — but I do think — I do think the — no one is above the law, and this president, who is lawless, should not be above the law.
Impeachment	But I will tell you, Rachel, the one thing when you’re out doing as much campaigning as I’ve done, 400 events, all 99 counties in Iowa, this is not the number-one issue the American people ask us about.
Impeachment	It’s not.
Impeachment	They want to know what we’re going to do for health care, how we’re going to lower pharmaceutical prices, how we’re going to build infrastructure, what we’re going to do to create jobs in their communities.
Impeachment	You know, last year in our country, 80 percent of the money for start-up businesses went to 50 counties in this country.
Impeachment	There’s over 3,000 counties in this country.
Impeachment	That’s what they care about.
Impeachment	They care about what’s going on in the public schools.
Impeachment	They care about what’s going on with jobs in their communities, with their pay, with their health care, with infrastructure.
Impeachment	These are the issues, these kind of kitchen-table, pocket-book issues…
Impeachment	Understood.
Impeachment	… are actually what most Americans care about.
Impeachment	They never ask about the Mueller Report.
Impeachment	Congressman, thank you.
Impeachment	Your time is up.
Impeachment	They never ask about it.
Impeachment	They want to know how we’re going to solve these problems.
Impeachment	Your time’s…
Impeachment	Here’s the thing.
Impeachment	I still — Senator…
Impeachment	… but if we let the Republicans run our elections and if do not do something about Russian interference in the election and we let Mitch McConnell stop all the backup paper ballots, then we’re not going to get what we want to do.
Impeachment	I’ve got to sneak in — we blew through a break, which was good news, to give you more time, so I got to sneak one in now.
Impeachment	More of this debate.
Impeachment	It’s picking up here.
Impeachment	It continues right after this.
	
Buttigieg on why he doesn’t support free college	BALART: Before we do I want to say hello and good evening, Buenos noches to Mayor Buttigieg.
Buttigieg on why he doesn’t support free college	BALART: (UNTRANSLATED) Many of your colleagues on stage support free college.
Buttigieg on why he doesn’t support free college	You do not.
Buttigieg on why he doesn’t support free college	Why not?
	
Candidates weigh in on healthcare	Senator, your time is up.
Candidates weigh in on healthcare	I want to put that same question to Mayor Buttigieg.
Candidates weigh in on healthcare	Yeah, we’ve taught look, everybody who says Medicare for All, every person in politics who allows that phrase to escape their lips has a responsibility to explain how you’re actually supposed to get from here to there.
Candidates weigh in on healthcare	Now here’s how I would do it.
Candidates weigh in on healthcare	It’s very similar.
Candidates weigh in on healthcare	I would call it Medicare for All Who Want It. you take something like Medicare, a flavor of that, and you make it available on the exchanges it.
Candidates weigh in on healthcare	People can buy in.
Candidates weigh in on healthcare	and then if people like us are right that that will be not only a more inclusive plan, but a more efficient plan than any of the corporate answers out there, then it will be a very natural glide path to the single payer environment.
Candidates weigh in on healthcare	But, let’s remember even in countries that have outright socialized medicine, like England, even there there’s still a private sector, that’s fine.
Candidates weigh in on healthcare	It’s just that for our primary care we can’t be relying on the tender verses of the corporate system.
Candidates weigh in on healthcare	This one is very personal for me.
Candidates weigh in on healthcare	I started out this year dealing with a terminal illness of my father.
Candidates weigh in on healthcare	I make decisions for a living and nothing could have prepared me for the kind of decisions our family faced.
Candidates weigh in on healthcare	But, the thing we had going for us was that we never had to make those decisions based on whether it was gonna bankrupt our family because of Medicare.
Candidates weigh in on healthcare	And I want every–
Candidates weigh in on healthcare	–Time.
Candidates weigh in on healthcare	And I want every family to have that same freedom to do what is medically right, not (INAUDIBLE).
Candidates weigh in on healthcare	Your time is complete.
Candidates weigh in on healthcare	Vice President Biden, I want to put the question to you.
Candidates weigh in on healthcare	You were an ar–one of the architects of Obama Care.
Candidates weigh in on healthcare	So, where do we go from here?
Candidates weigh in on healthcare	Look, this is a very personal to me.
Candidates weigh in on healthcare	When my wife and daughter were killed in an automobile accident my two boys were really very badly injured.
Candidates weigh in on healthcare	I couldn’t imagine what it’d be like had I not had adequate healthcare available immediately.
Candidates weigh in on healthcare	And then when my son came home from Iraq after a year he was diagnosed with terminal cancer and he was given months to live.
Candidates weigh in on healthcare	I can’t fathom what would have happened if, in fact, they said by the way the last six months of your life you’re on your own.
Candidates weigh in on healthcare	We’re cutting off.
Candidates weigh in on healthcare	You’ve used up your time.
Candidates weigh in on healthcare	The fact of the matter is that the quickest, fastest way to do it is build on Obama Care, to build on what we did.
Candidates weigh in on healthcare	And secondly, secondly, to make sure that everyone does have an option.
Candidates weigh in on healthcare	Everyone, whether they have private insurance, employer insurance or no insurance, they, in fact, can buy into the exchange to a Medicare like plan.
Candidates weigh in on healthcare	And the way you do that, you can do it quicker look, urgency matters.
Candidates weigh in on healthcare	There’s people right now facing what I’ve faced and what we’ve faced without any of the help I had.
Candidates weigh in on healthcare	We must move now.
Candidates weigh in on healthcare	I’m against any democrat who opposes–in fact–
Candidates weigh in on healthcare	–Vice President Biden, your time is–
Candidates weigh in on healthcare	–Takes down Obama Care and any republican who wants to get rid of it.
Candidates weigh in on healthcare	Let me–let me turn to Senator Sanders.
Candidates weigh in on healthcare	Senator Sanders, you have basically–you basically want to scrap the private health insurance system as we know it and replace it with a government run plan.
Candidates weigh in on healthcare	None of the states that have tried something like that, California, Vermont, New York has struggled with it, have been successful.
Candidates weigh in on healthcare	If politicians can’t make it work in those states how would you implement it on a national level.
Candidates weigh in on healthcare	How does this work?
Candidates weigh in on healthcare	Lester, I find it hard to believe that every other major country on earth, including my neighbor 50 miles north of me, Canada, somehow has figured out a way to provide healthcare to every man, woman and child, and in most cases they’re spending 50 percent per capita of what we are spending.
Candidates weigh in on healthcare	Let’s be clear, let us be very clear the function of healthcare today from the insurance and drug company perspective is not to provide quality care to all in a cost effective way.
Candidates weigh in on healthcare	The function of the healthcare system today is to make billions in profits for the insurance companies.
Candidates weigh in on healthcare	And, last year, if you could believe it, while we paid the highest prices in the world for prescription drugs and I will lower prescription drug prices in half in this country, top ten companies made $69 billion in profit.
Candidates weigh in on healthcare	They will spend 100’s of millions of dollars lying to the American people telling us why we cannot have a–
Candidates weigh in on healthcare	–Senator–
Candidates weigh in on healthcare	–Medicare for All.
Candidates weigh in on healthcare	I just have to follow up there, how do you implement it on a national level.
Candidates weigh in on healthcare	I’m sorry?
Candidates weigh in on healthcare	How do you implement it on a national level given the fact that it’s not succeeded in other states that have tried?
Candidates weigh in on healthcare	I will tell you how we’ll do it.
Candidates weigh in on healthcare	We’ll do it the way real change has always taken place, whether it was the labor movement, the civil rights movement or the women’s movement.
Candidates weigh in on healthcare	We will have Medicare for all when tens of millions of people are prepared to stand up and tell the insurance companies and the drug companies that their day is gone, that healthcare is a human right, not something to make huge profits off of.
Candidates weigh in on healthcare	All right.
Candidates weigh in on healthcare	Ms. Williamson–Ms. Williamson this is a question for you.
Candidates weigh in on healthcare	Excuse me, excuse me.
Candidates weigh in on healthcare	I am addressing the question to Ms. Williamson.
Candidates weigh in on healthcare	We have been talking a lot about access to health insurance but for many Americans their most pressing concern is the high cost of healthcare.
Candidates weigh in on healthcare	How would you lower the cost of prescription drugs?
Candidates weigh in on healthcare	Well, first of all the government should never have made the deal with the big farm at that they couldn’t negotiate; that was just part of the regular corruption by which multinational corporations have their way with us.
Candidates weigh in on healthcare	You know I wanted to say that while I agree with–I–I’m with Senator Bennet and others but I agree with almost everything here I will tell you one thing it’s really nice if we got all these plans but if you think we are going to beat Donald Trump by just having all of these plans you’ve got another thing coming because he didn’t when by saying he had a plan.
Candidates weigh in on healthcare	He won by simply saying make America great again.
Candidates weigh in on healthcare	We’ve got to get deeper than just the superficial fixes as important as they are.
Candidates weigh in on healthcare	Even if we are just talking about the superficial fixes ladies and gentlemen we don’t have a health care system in the United States, we have a sickness care system in the United States.
Candidates weigh in on healthcare	We just wait until somebody gets sick and then we talk about who’s going to pay for the treatment and how they are going to be treated.
Candidates weigh in on healthcare	What we need to talk about is why so many Americans have unnecessary chronic illnesses so many more compared to other countries and that gets back into not just the big Pharma, not just health insurance companies, it has to do with chemical policies, it has to do with environmental policies–
Candidates weigh in on healthcare	All right, Ms. Williamson your time–
Candidates weigh in on healthcare	–it has to do with food policies– It has to do with drug policies.
Candidates weigh in on healthcare	Thank you.
Candidates weigh in on healthcare	It even has to do with environmental policies.
Candidates weigh in on healthcare	Thank you.
Candidates weigh in on healthcare	Senator–Senator Bennet, a question for you do you want to keep a system that we have in place with Obamacare and build on it?
Candidates weigh in on healthcare	You mentioned that a moment ago.
Candidates weigh in on healthcare	Is that enough to get us to universal coverage?
Candidates weigh in on healthcare	I believe that will get us the quickest way there and I bought the vice president was very moving about this and Mayor Pete as well.
Candidates weigh in on healthcare	I had prostate cancer recently as you may know and that is why I was a little late getting in the race these same week my kid had her appendectomy out and I feel very strongly that families ought to be able to have this choice.
Candidates weigh in on healthcare	I think that is what the American people want.
Candidates weigh in on healthcare	I believe it will get us there quickly.
Candidates weigh in on healthcare	There are millions of people in America that do not have health insurance today because they can’t–they are too wealthy.
Candidates weigh in on healthcare	Wealthy?
Candidates weigh in on healthcare	They make too much money to be on Medicaid, they can’t afford health insurance.
Candidates weigh in on healthcare	When Senator Sanders says that Canada is single payer, there are 35 million people in Canada.
Candidates weigh in on healthcare	There are 330 million people in the United States easily the number of people on a public option.
Candidates weigh in on healthcare	It could easily be 35 million and for them it would be Medicare for all as mayor Buttigieg says but for others that want to keep it they should be able to keep it.
Candidates weigh in on healthcare	And I think that will be the fastest way to get where we need to go.
Candidates weigh in on healthcare	Also I will say Bernie is a very honest person.
Candidates weigh in on healthcare	He has said over and over again unlike others that have supported this legislation over and over again that this will band making it illegal all insurance except cosmetic, except insurance for I guess that’s where plastic surgery.
Candidates weigh in on healthcare	Everything else is banned under the Medicare for all proposal–
Candidates weigh in on healthcare	I–I let–I let you go a little long there but I want–but obviously Senator Sanders you have got a response.
Candidates weigh in on healthcare	I would like to add a point here.
Candidates weigh in on healthcare	Senator Sanders (INAUDIBLE).
Candidates weigh in on healthcare	Just very briefly you know Mike, Medicare is the most popular–
Candidates weigh in on healthcare	I agree.
Candidates weigh in on healthcare	— Health insurance program in the country.
Candidates weigh in on healthcare	People don’t like their private insurance companies, they like their doctors and hospitals.
Candidates weigh in on healthcare	Under our plan people go to any doctor they want, any hospital they want.
Candidates weigh in on healthcare	We will substantially lower the cost of healthcare in this country because we will stop the greed of the insurance companies and the drug companies.
Candidates weigh in on healthcare	On this issue–on this issue we have to think about how this affects real people–
Candidates weigh in on healthcare	(INAUDIBLE) lifetime, (INAUDIBLE) for all and today–
Candidates weigh in on healthcare	The reality of how this affects real people is captured in a story that many of us heard and I will para–paraphrase there is in the unite–America a parent who is seeing that their child has a temperature that is out of control, calls 911 what should I do and they say take the child to the emergency room and so they get in their car and they drive and there sitting in the parking lot outside of the emergency room looking at those sliding glass doors while they have the hand on the four head of their child knowing that if they walk through those sliding glass doors even though they have insurance they will be out 5000 deductible–$5000 deductible when they walk through those doors.
Candidates weigh in on healthcare	Senator, Senator–
Candidates weigh in on healthcare	That is what insurance companies are doing in America today.
Candidates weigh in on healthcare	We’re going to continue this discussion–
Candidates weigh in on healthcare	–I’m one of those parents–
Candidates weigh in on healthcare	I wanted to put it in–
Candidates weigh in on healthcare	Candidates, please.
Candidates weigh in on healthcare	I’m one of those parents.
Candidates weigh in on healthcare	I was just in the emergency room with my eight month old–
Candidates weigh in on healthcare	–Candidates, please–
Candidates weigh in on healthcare	–I’m one of those parents.
Candidates weigh in on healthcare	I was just in the emergency room.
Candidates weigh in on healthcare	And I’m telling you–
Candidates weigh in on healthcare	–Congressman, thank you–
