label	text
1	And I believe that, on January 20, 2021, at 12:01 p.m., we’re going to have a Democratic president, a Democratic House, and a Democratic Senate.
1	And the activists of Parkland, folks from Moms Demand who have risen up across the United States and inspired so many people… … you know, we may not have seen yet legislative action, but we’re getting closer.
1	The House took a vote.
1	In the Senate, the question often is, if the decision is between 60 votes, a filibuster, or passing commonsense gun reform, I’m going to choose commonsense gun reform.
1	So I believe that we’re going to be able to get that done in 2021.
1	Secretary Castro, thank you.
1	Rachel, I have something to add to this briefly, because…
1	We’ll give you — it’ll be 30 seconds for a follow-up on that question — on that answer from Secretary Castro.
1	Congressman Ryan?
1	You’re talking about in the schools.
1	These kids are traumatized.
1	I support all the gun reforms here.
1	We need to start dealing with the trauma that our kids have.
1	We need trauma-based care in every school.
1	We need social and emotional learning in every school.
1	Ninety percent of the shooters who do school shootings come from the school they’re in, and 73 percent of them feel shamed, traumatized, or bullied.
1	We need to make sure that these kids feel connected to the school.
1	That means a mental health counselor in every single school in the United States.
1	We need to start playing offense.
1	If our kids are so traumatized that they’re getting a gun and going into our schools, we’re doing something wrong, too, and we need reform around trauma-based care.
1	Thank you, Congressman Ryan.
1	Congressman O’Rourke, you’re a Texan who’s campaigned — you campaigned all over the state in 2018 in the most conservative parts there.
1	What do you tell a gun owner who may agree with you on everything else, OK, but says, you know what, the Democrats, if I vote for them in there, they’re going to take my gun away, and even though I agree with you on all these other issues — how do you have that conversation?
1	Here’s how we have that conversation in Texas.
1	I shared with them what I learned from those students who survived the Santa Fe high school shooting, a young student named Bree.
1	Her friend, Marcel, who survived another shooting, the mother of a victim who lost her life, Rhonda Hart, they talked about universal background checks, where you close every loophole.
1	We know that they save lives.
1	We talked about ending the sales of assault weapons into our communities.
1	Those weapons of war were designed to kill people as effectively and as efficiently as possible.
1	They should belong on the battlefield and not in our communities.
1	Red flag laws, so if someone poses a danger to themselves or to someone else, they’re stopped before it’s too late.
1	And what I found in each one of those 254 counties is that Democrats and independents and Republicans, gun-owners and non-gun-owners alike, agreed.
1	But this effort must be led by the young people that you referenced at the beginning of this issue.
1	Those students from Marjory Stoneman Douglas led the charge here in Florida, and they’ve been able to change those laws.
1	They’re making our democracy work, ensuring that our values and our interests and our priorities are reflected in the laws that we pass.
1	Thank you, Congressman O’Rourke.
1	Hang on.
1	Let me give 30 seconds, Senator Klobuchar, the iron range.
1	I’m curious.
1	Gun confiscation, right?
1	If the government is buying back, how do you not have that conversation?
1	Well, that’s not confiscation.
1	You could give them the offer to buy back their gun.
1	But I’ll say this.
1	I look at these proposals and I say, does this hurt my Uncle Dick and his deer stand, coming from a proud hunting and fishing state?
1	These proposals don’t do that.
1	When I was a prosecutor, I supported the assault weapons ban.
1	When I was in the Senate, I saw those moms from Sandy Hook come and try to advocate for change, and we all failed.
1	And then now these Parkland kids from Florida, they started literally a national shift.
1	You know why?
1	It’s just like with gay marriage.
1	When kids talked to their parents and their grandparents, they say I don’t understand why we can’t put these sensible things in place, they listen.
1	And if we get bested by a bunch of 17-year-olds…
1	All right, Senator, thank you.
1	… it’s the best thing that ever happened.
1	We need to get…
1	Senator, thank you.
1	Senator, thank you.
1	Senator Booker, let me go to you on another matter actually.
1	We’ve got to…
1	I’m going to get to — I’m going to get a couple of you in here.
1	I’m going to get a couple of you in here.
1	Thirty seconds, Congressman Delaney, you seem to believe you can do everything in a bipartisan manner.
1	Mitch McConnell doesn’t operate that way.
1	He operates differently.
1	Why do you think he is going to conform to your style?
1	I think we need to get things done.
1	That’s why I believe we need to operate in a bipartisan manner.
1	Listen, I will sign into law bills that come to the White House that are passed on a party-line basis, absolutely.
1	But all the big transformative things we’ve ever done in this country’s history have happened when huge majoritiesof the American people get behind them, which is why we need real solutions, not impossible promises.
1	We need to put forth ideas that work, whether it’s on health care, creating universal health care so that every American gets health care, but not running on making private insurance illegal.
1	The gun issue is related.
1	The gun safety issue is related, because I can’t tell you how many times I’ve been with folks in Western Maryland, and they’ve said to me, you know, Democrats don’t do anything for us, Republicans don’t do anything for us.
1	You fight all the time, so they vote on that single issue.
1	OK.
1	If we become the party of getting things done for the American people, with real solutions and not impossible promises, we’ll be able to get all these things done.
1	I promised…
1	Senator Booker, 30 seconds.
1	You — how do you deal with Mitch?
1	You’ve been in the Senate.
1	You can’t get bills on the floor right now with Mitch McConnell.
1	Presidents can’t do it.
1	Is President Booker going to get his bills on the floor with Senator McConnell?
1	You know, when I got to the United States Senate, going back to what De Blasio said, as an African-American man in an African-American-dominated community, I knew one of the biggest issue was criminal justice reform, from police accountability to dealing with the fact that we have a nation that has more African-Americans under criminal supervision than all the slaves in 1850.
1	And when I got to the Senate, people told me we could not get a comprehensive criminal justice reform bill done.
1	As my colleagues in the Senate know, I fought on that bill from the day I got to the Senate, built coalitions across the aisle, and today we passed the First Step Act.
1	It’s not as far as I want to go, but thousands of people will be liberated.
1	I have gotten — I have taken on tough problems people said we cannot achieve, and I’ve been able to get things accomplished.
1	Thank you, Senator Booker.
1	Rachel has got the next question.
1	Governor Inslee, thank you.
1	Congressman O’Rourke, you also put out a big climate change plan from your campaign.
1	You want some big changes in a pretty short period of time, including switching to renewable energy, pushing to replace gas-powered cars in favor of electric ones.
1	What’s your message to a voter who supports the overall goal of what you’re trying to do, but suddenly feels as if government’s telling them how to live and ordering them how to live?
1	What is that balance like?
1	I think you’ve got to bring everybody in to the decisions and the solutions to the challenges that we face.
1	That’s why we’re traveling everywhere, listening to everyone.
1	We were in Pacific Junction, a town that had never meaningly flooded before, just up against the Missouri River in Iowa.
1	And every home in that community had flooded.
1	There were farms just outside of Pacific Junction that were effectively lakes, those farmers already underwater in debt, their markets closed to them by a trade war under this administration, and now they don’t know what to do.
1	We in our administration are going fund resiliency in those communities, in Miami, in Houston, Texas, those places that are on the front lines of climate change today.
1	We’re going to mobilize $5 trillion in this economy over the next 10 years.
1	We’re going to free ourselves from a dependence on fossil fuels, and we’re going to put farmers and ranchers in the driver’s seat, renewable and sustainable agriculture, to make sure that we capture more carbon out of the air and keep more of it in the soil, paying farmers for the environmental services that they want to provide.
1	If all of us does all that we can, then we’re going to be able to keep this planet from warming another 2 degrees Celsius, and ensure that we match what this country can do and live up to our promise and our potential.
1	Thirty seconds, Secretary Castro, does — who pays for the mitigation to — to climate, whether it’s building sea walls, for people that are perhaps living in places that they shouldn’t be living?
1	Is this a federal government issue that needs to do that?
1	Do they have to move these people?
1	What do you do about that, where maybe they’re building a place someplace that isn’t safe?
1	Who pays to build that house?
1	And how much should the government be bailing them out?
1	Well, I don’t think that that represents the vast majority of the issue.
1	In fact, you know, my first visit after I announced my candidacy wasn’t to Iowa or New Hampshire.
1	It was to San Juan, Puerto Rico.
1	Because people should know that if I’m elected president, everybody will count.
1	And, you know, I’m one of the few candidates in this race with executive experience, with a track record of getting things done.
1	When I was mayor of San Antonio, we moved our local public utility, we began to shift it from coal-fired plants to solar and other renewables, and also created more than 800 jobs doing that.
1	And when I was HUD secretary, we worked on the National Disaster Resilience Competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way.
1	That’s the way that we’re going to help make sure that we’re all safer in the years to come and that we combat climate change.
1	Thank you.
1	And if I’m elected president, the first thing that I would do, like Senator Klobuchar also has said, is sign an executive order recommitting us to the Paris Climate Accord so that we lead again…
1	All right.
1	Congressman Ryan, I got a full question for you here, which is simply this.
1	There are — a lot of the climate plans include pricing carbon, taxing carbon in some way.
1	This type of proposal has been tried in a few places, whether it’s Washington state where voters voted it down, you’ve had the Yellow Vest Movement, we had in Australia one party get rejected out of fear of the cost of climate change sort of being put on the backs of the consumer.
1	If pricing carbon is just politically impossible, how do we pay for climate mitigation?
1	Well, there is a variety of different ways to pay.
1	We talked about different ways of raising revenue.
1	And I think we’ve got to build our way out of this and grow our way out of this.
1	But let me just talk real quick to the previous question about real politics.
1	We could talk about climate, we could talk about guns, we could talk about all of these issues that we all care about.
1	We have a perception problem with the Democratic Party.
1	We are not connecting to the working class people in the very states that I represent in Ohio, in the industrial Midwest.
1	We’ve lost all connection.
1	We have got to change the center of gravity of the Democratic Party from being coastal and elital — elitist and Ivy League, which is the perception, to somebody from the forgotten communities that have been left behind for the last 30 years, to get those workers back on our side so we can say we’re going to build electric vehicles, we’re going to build solar panels.
1	But if you want to beat Mitch McConnell, this better be a working-class party.
1	If you want to go into Kentucky and take his rear end out, and if you want to take Lindsey Graham out, you’ve got to have a blue collar party that can go into the textile communities in South Carolina.
1	So all I’m saying here…
1	Thank you, Congressman Ryan.
1	All I’m saying here…
1	Thank you, Congressman Ryan.
1	So, Chuck, Chuck…
1	All I’m saying is here, if we don’t address that fundamental problem with our connection to workers — white, black, brown, gay, straight — working-class people…
1	Thank you, Congressman.
1	… none of this is going to get done, Chuck.
1	Thank you very much.
1	Chuck…
1	I want to you — we’re going to keep moving.
1	Congressman Delaney, I’m going to get to you…
1	This is — I introduced the only bipartisan carbon tax bill…
1	Thirty seconds — all right, 30 seconds, go.
1	This is really important.
1	All the economists agree that a carbon pricing mechanism works.
1	You just have to do it right.
1	You can’t put a price on carbon, raise energy prices, and not give the money back to the American people.
1	My proposal, which is put a price on carbon, give a dividend back to the American people.
1	It goes out one pocket, back in the other.
1	Thank you, Congressman.
1	I can get that passed my first year as president with a coalition of every Democrat in the Congress and the Republicans who live in coastal states.
1	Thank you.
1	Congressman, thank you.
1	Because Republicans in Florida, they actually care about this issue.
1	OK.
1	Thank you very much.
1	This has got to be our way forward if we’re actually serious about this issue.
1	I want to go down the line here, finish up .
1	It’s a simple question.
1	What is our — what is the biggest threat — what is — who is the geopolitical threat to the United States?
1	Just give me a one-word answer, Congressman Delaney.
1	Could you repeat the question?
1	Greatest geopolitical threat to the United States right now.
1	Congressman Delaney?
1	Well, the biggest geopolitical challenge is China.
1	But the biggest geopolitical threat remains nuclear weapons.
1	OK.
1	Right, so those are — you know, those are different questions.
1	I got you.
1	Totally get it.
1	Go ahead.
1	Governor Inslee?
1	The biggest threat to the security of the United States is Donald Trump.
1	And there’s no question about it.
1	Congresswoman Gabbard?
1	The greatest…
1	Greatest geopolitical threat.
1	The greatest threat that we face is the fact that we’re in a greater risk of nuclear war today than ever before in history.
1	Senator Klobuchar?
1	Two threats, economic threat, China, but our major threat right now is what’s going in the Mideast with Iran, if we don’t get…
1	OK, try to keep it at one — slimmer than what we’ve been going here.
1	One or two words.
1	Our existential threat is climate change.
1	We have to confront it before it’s too late.
1	Senator Warren?
1	Climate change.
1	Yeah.
1	Senator Booker?
1	Nuclear proliferation and climate change.
1	Secretary Castro?
1	China and climate change.
1	Congressman Ryan?
1	China, without a question.
1	They’re wiping us around the world economically.
1	And Mr. Mayor?
1	Russia, because they’re trying to undermine our democracy and they’ve been doing a pretty damn good job of it, and we need to stop them.
1	All right.
1	Well, thank you for that wide variety of answers, and I mean that.
1	No, I mean that in — that’s what this debate is about.
1	This is the best part of a debate like this.
1	Congressman O’Rourke, Special Counsel Robert Mueller’s report outlines multiple instances of potential criminal behavior by President Trump.
1	House Speaker Pelosi has publicly and privately resisted any move toward impeachment in the House.
1	If the House chooses not to impeach, as president, would you do anything to address the potential crimes that were outlined in Mr. Mueller’s report?
1	Thank you, Congressman O’Rourke.
1	Congressman Delaney, because of the accountability issues that Congressman O’Rourke was just describing there and the real political landscape in which Nancy Pelosi is saying that impeachment will not be pursued in the House, it raises the prospect — and the Mueller Report raises the prospect that President Trump could be prosecuted for some of those potential crimes down the line.
1	No U.S. president has ever been prosecuted for crimes after leaving office.
1	Do you believe that President Trump could or should be the first?
1	I guess there’s always a first.
1	Should he be?
1	I don’t think anyone is above the law.
1	I don’t think anyone is above the law, including a president.
1	I support Speaker Pelosi’s decisions that she is making in the House of Representatives right now as speaker.
1	I think she knows more about the decision as to whether to impeach the president than any of the 2020 candidates combined.
1	Conceded.
1	On the issue of prosecution…
1	So — but I do think — I do think the — no one is above the law, and this president, who is lawless, should not be above the law.
1	But I will tell you, Rachel, the one thing when you’re out doing as much campaigning as I’ve done, 400 events, all 99 counties in Iowa, this is not the number-one issue the American people ask us about.
1	It’s not.
1	They want to know what we’re going to do for health care, how we’re going to lower pharmaceutical prices, how we’re going to build infrastructure, what we’re going to do to create jobs in their communities.
1	You know, last year in our country, 80 percent of the money for start-up businesses went to 50 counties in this country.
1	There’s over 3,000 counties in this country.
1	That’s what they care about.
1	They care about what’s going on in the public schools.
1	They care about what’s going on with jobs in their communities, with their pay, with their health care, with infrastructure.
1	These are the issues, these kind of kitchen-table, pocket-book issues…
1	Understood.
1	… are actually what most Americans care about.
1	They never ask about the Mueller Report.
1	Congressman, thank you.
1	Your time is up.
1	They never ask about it.
1	They want to know how we’re going to solve these problems.
1	Your time’s…
1	Here’s the thing.
1	I still — Senator…
1	… but if we let the Republicans run our elections and if do not do something about Russian interference in the election and we let Mitch McConnell stop all the backup paper ballots, then we’re not going to get what we want to do.
1	I’ve got to sneak in — we blew through a break, which was good news, to give you more time, so I got to sneak one in now.
1	More of this debate.
1	It’s picking up here.
1	It continues right after this.
1	Before we do I want to say hello and good evening, Buenos noches to Mayor Buttigieg.
1	(UNTRANSLATED) Many of your colleagues on stage support free college.
1	You do not.
1	Why not?
1	Senator, your time is up.
1	I want to put that same question to Mayor Buttigieg.
1	Yeah, we’ve taught look, everybody who says Medicare for All, every person in politics who allows that phrase to escape their lips has a responsibility to explain how you’re actually supposed to get from here to there.
1	Now here’s how I would do it.
1	It’s very similar.
1	I would call it Medicare for All Who Want It. you take something like Medicare, a flavor of that, and you make it available on the exchanges it.
1	People can buy in.
1	and then if people like us are right that that will be not only a more inclusive plan, but a more efficient plan than any of the corporate answers out there, then it will be a very natural glide path to the single payer environment.
1	But, let’s remember even in countries that have outright socialized medicine, like England, even there there’s still a private sector, that’s fine.
1	It’s just that for our primary care we can’t be relying on the tender verses of the corporate system.
1	This one is very personal for me.
1	I started out this year dealing with a terminal illness of my father.
1	I make decisions for a living and nothing could have prepared me for the kind of decisions our family faced.
1	But, the thing we had going for us was that we never had to make those decisions based on whether it was gonna bankrupt our family because of Medicare.
1	And I want every–
1	–Time.
1	And I want every family to have that same freedom to do what is medically right, not (INAUDIBLE).
1	Your time is complete.
1	Vice President Biden, I want to put the question to you.
1	You were an ar–one of the architects of Obama Care.
1	So, where do we go from here?
1	Look, this is a very personal to me.
1	When my wife and daughter were killed in an automobile accident my two boys were really very badly injured.
1	I couldn’t imagine what it’d be like had I not had adequate healthcare available immediately.
1	And then when my son came home from Iraq after a year he was diagnosed with terminal cancer and he was given months to live.
1	I can’t fathom what would have happened if, in fact, they said by the way the last six months of your life you’re on your own.
1	We’re cutting off.
1	You’ve used up your time.
1	The fact of the matter is that the quickest, fastest way to do it is build on Obama Care, to build on what we did.
1	And secondly, secondly, to make sure that everyone does have an option.
1	Everyone, whether they have private insurance, employer insurance or no insurance, they, in fact, can buy into the exchange to a Medicare like plan.
1	And the way you do that, you can do it quicker look, urgency matters.
1	There’s people right now facing what I’ve faced and what we’ve faced without any of the help I had.
1	We must move now.
1	I’m against any democrat who opposes–in fact–
1	–Vice President Biden, your time is–
1	–Takes down Obama Care and any republican who wants to get rid of it.
1	Let me–let me turn to Senator Sanders.
1	Senator Sanders, you have basically–you basically want to scrap the private health insurance system as we know it and replace it with a government run plan.
1	None of the states that have tried something like that, California, Vermont, New York has struggled with it, have been successful.
1	If politicians can’t make it work in those states how would you implement it on a national level.
1	How does this work?
1	Lester, I find it hard to believe that every other major country on earth, including my neighbor 50 miles north of me, Canada, somehow has figured out a way to provide healthcare to every man, woman and child, and in most cases they’re spending 50 percent per capita of what we are spending.
1	Let’s be clear, let us be very clear the function of healthcare today from the insurance and drug company perspective is not to provide quality care to all in a cost effective way.
1	The function of the healthcare system today is to make billions in profits for the insurance companies.
1	And, last year, if you could believe it, while we paid the highest prices in the world for prescription drugs and I will lower prescription drug prices in half in this country, top ten companies made $69 billion in profit.
1	They will spend 100’s of millions of dollars lying to the American people telling us why we cannot have a–
1	–Senator–
1	–Medicare for All.
1	I just have to follow up there, how do you implement it on a national level.
1	I’m sorry?
1	How do you implement it on a national level given the fact that it’s not succeeded in other states that have tried?
1	I will tell you how we’ll do it.
1	We’ll do it the way real change has always taken place, whether it was the labor movement, the civil rights movement or the women’s movement.
1	We will have Medicare for all when tens of millions of people are prepared to stand up and tell the insurance companies and the drug companies that their day is gone, that healthcare is a human right, not something to make huge profits off of.
1	All right.
1	Ms. Williamson–Ms. Williamson this is a question for you.
1	Excuse me, excuse me.
1	I am addressing the question to Ms. Williamson.
1	We have been talking a lot about access to health insurance but for many Americans their most pressing concern is the high cost of healthcare.
1	How would you lower the cost of prescription drugs?
1	Well, first of all the government should never have made the deal with the big farm at that they couldn’t negotiate; that was just part of the regular corruption by which multinational corporations have their way with us.
1	You know I wanted to say that while I agree with–I–I’m with Senator Bennet and others but I agree with almost everything here I will tell you one thing it’s really nice if we got all these plans but if you think we are going to beat Donald Trump by just having all of these plans you’ve got another thing coming because he didn’t when by saying he had a plan.
1	He won by simply saying make America great again.
1	We’ve got to get deeper than just the superficial fixes as important as they are.
1	Even if we are just talking about the superficial fixes ladies and gentlemen we don’t have a health care system in the United States, we have a sickness care system in the United States.
1	We just wait until somebody gets sick and then we talk about who’s going to pay for the treatment and how they are going to be treated.
1	What we need to talk about is why so many Americans have unnecessary chronic illnesses so many more compared to other countries and that gets back into not just the big Pharma, not just health insurance companies, it has to do with chemical policies, it has to do with environmental policies–
1	All right, Ms. Williamson your time–
1	–it has to do with food policies– It has to do with drug policies.
1	Thank you.
1	It even has to do with environmental policies.
1	Thank you.
1	Senator–Senator Bennet, a question for you do you want to keep a system that we have in place with Obamacare and build on it?
1	You mentioned that a moment ago.
1	Is that enough to get us to universal coverage?
1	I believe that will get us the quickest way there and I bought the vice president was very moving about this andMayor Pete as well.
1	I had prostate cancer recently as you may know and that is why I was a little late getting in the race these same week my kid had her appendectomy out and I feel very strongly that families ought to be able to have this choice.
1	I think that is what the American people want.
1	I believe it will get us there quickly.
1	There are millions of people in America that do not have health insurance today because they can’t–they are too wealthy.
1	Wealthy?
1	They make too much money to be on Medicaid, they can’t afford health insurance.
1	When Senator Sanders says that Canada is single payer, there are 35 million people in Canada.
1	There are 330 million people in the United States easily the number of people on a public option.
1	It could easily be 35 million and for them it would be Medicare for all as mayor Buttigieg says but for others that want to keep it they should be able to keep it.
1	And I think that will be the fastest way to get where we need to go.
1	Also I will say Bernie is a very honest person.
1	He has said over and over again unlike others that have supported this legislation over and over again that this will band making it illegal all insurance except cosmetic, except insurance for I guess that’s where plastic surgery.
1	Everything else is banned under the Medicare for all proposal–
1	I–I let–I let you go a little long there but I want–but obviously Senator Sanders you have got a response.
1	I would like to add a point here.
1	Senator Sanders (INAUDIBLE).
1	Just very briefly you know Mike, Medicare is the most popular–
1	I agree.
1	— Health insurance program in the country.
1	People don’t like their private insurance companies, they like their doctors and hospitals.
1	Under our plan people go to any doctor they want, any hospital they want.
1	We will substantially lower the cost of healthcare in this country because we will stop the greed of the insurance companies and the drug companies.
1	On this issue–on this issue we have to think about how this affects real people–
1	(INAUDIBLE) lifetime, (INAUDIBLE) for all and today–
1	The reality of how this affects real people is captured in a story that many of us heard and I will para–paraphrase there is in the unite–America a parent who is seeing that their child has a temperature that is out of control, calls 911 what should I do and they say take the child to the emergency room and so they get in their car and they drive and there sitting in the parking lot outside of the emergency room looking at those sliding glass doors while they have the hand on the four head of their child knowing that if they walk through those sliding glass doors even though they have insurance they will be out 5000 deductible–$5000 deductible when they walk through those doors.
1	Senator, Senator–
1	That is what insurance companies are doing in America today.
1	We’re going to continue this discussion–
1	–I’m one of those parents–
1	I wanted to put it in–
1	Candidates, please.
1	I’m one of those parents.
1	I was just in the emergency room with my eight month old–
1	–Candidates, please–
1	–I’m one of those parents.
1	I was just in the emergency room.
1	And I’m telling you–
1	–Congressman, thank you–
1	–We fight health insurance companies every single week.
1	Thank you.
1	We stand in line and pay expensive prescription drugs.
1	We have to have a healthcare guarantee.
1	If you’re sick, you’re seen it.
1	And in America, you never go broke because of it.
1	Okay.
1	With all due respect–
1	–A lot of you have been talking tonight about these government healthcare plans that you proposed in one form or another.
1	This is a show of hands question.
1	And hold them up for a moment so people can see.
1	Raise your hand if–if your government plan would provide coverage for undocumented immigrants.
1	Okay.
1	Let me start with you, Mayor Buttigieg.
1	Why?
1	Mayor Buttigieg, why?
1	Because our country is healthier when everybody is healthier.
1	And remember, we’re talking about something people are getting a–given a chance to buy into.
1	In the same way that there are undocumented immigrants in my community who pay, they pay sales taxes, they pay property taxes directly or indirectly.
1	This is not about a handout.
1	This is an insurance program.
1	And we do ourselves no favor by having 11 million undocumented people in our country be unable to access healthcare.
1	But of course, the real problem is we shouldn’t have 11 million undocumented people with no pathway to citizenship.
1	It makes no sense.
1	And the American people– The American people agree on what to do.
1	This is the crazy thing.
1	If leadership consists of–of forming a consensus around a divisive issue, this White House has divided us around a consensus issue.
1	The American people want a pathway to citizenship.
1	They wanted protections for Dreamers.
1	We need to clean up the lawful immigration system, like how my father immigrated to this country.
1	And as part of a compromise, we can do whatever commonsense measures are needed at the border.
1	Mayor–
1	–But Washington can’t deliver on something the American people want.
1	What does that tell you about the system we’re living in?
1	It tells you it needs profound–
1	–Mayor, thank you–
1	–Structural reform.
1	Vice President Biden, I believe you said that your– Health care plan would not cover undocumented immigrants.
1	Could you explain your position?
1	I’m sorry.
1	I beg your pardon.
1	I didn’t hear.
1	I believe at the show of hands you did not raise her hand.
1	Did you raise your hand?
1	Oh, no, I did.
1	I–but
1	–Okay.
1	Sorry.
1	Sorry.
1	I–so, you said that they would be covered under your plan–
1	–Yes–
1	–Which is different than Obama Care.
1	Yes.
1	But here–here’s the thing.
1	Can you explain that change?
1	Yes.
1	You cannot let–as the mayor said, you cannot let people who are sick, no matter where they come from, no matter what their status, go uncovered.
1	You can’t do that.
1	It’s just going to be taking care of, period.
1	You have to.
1	It’s the humane thing to do.
1	But here’s the deal.
1	The deal is that he’s right about three things.
1	Number one, they in fact contribute to the well-being of the country, but they also–for example, they’ve increased the lifespan of Social Security because they’re–they have a job.
1	They’re paying the Social Security tax.
1	That’s what they’re doing.
1	It’s increase the lifespan.
1	They would do the same thing in terms of reducing the overall cost of healthcare by them being able to be treated and not wait until there in extremis.
1	The other thing is, folks, look, we can deal with these insurance companies.
1	We can deal with insurance companies by, number one, putting insurance executives in jail for their misleading–their misleading advertising, what they’re doing on opioids– –What they’re doing paying doctors to prescribe.
1	We should–we could be doing this by making sure everyone who is on Medicare–that the government should be able to negotiate the price for what–whatever the drug costs are.
1	We can do this by making sure that we’re in a position that we in fact allow people–you mean time’s up?
1	I just want to address–
1	–Your time’s up.
1	Vice President Biden, thank you.
1	Actually, you can hold off a minute.
1	We need to take a short break here.
1	We got a lot more we need to talk to all of you about, so stick with us.
1	We’re just getting started.
1	We’ll be back with more from Miami right after this.
1	Hickenlooper day one if you are–day one at the White House how do you respond?
1	With these–with these children?
1	Let me get to you in–in–in just a second.
1	I’m sorry.
1	Governor, day one, thousands of men, women and children cross the border asking for asylum for a better life.
1	What do you do?
1	One, day one, hour one?
1	Certainly the images we’ve seen this week just compound the emotional impact that the world is judging us by.
1	If you had ever told me any time in my life that this country would sanction federal agents to take children from the arms of their parents, put them in cages, actually put them up for adoption–in Colorado we call that kidnapping.
1	I–I would have called you– I would have told you it was unbelievable.
1	And the first thing we have to do is recognize the humanitarian crisis on the border for what it is and make sure there are the sufficient facil-facilities in place so that women and children are not separated from their families.
1	The children are with their families.
1	We have to make sure that–that ICE is completely reformed.
1	And they begin looking at their job in a humanitarian way where they are addressing the whole needs of the people that they are engaged with along the border.
1	And we have to make sure, ultimately, that we provide not just shelter, but food, clothing and access to medical care.
1	Ms. Williamson.
1	Yes, what Donald Trump has done to these children and it’s not just in Colorado, Governor, you’re right–it is kidnapping.
1	And it’s extremely important for us to realize that.
1	If you forcibly take a child from their parents arms you are kidnapping them.
1	And if you take a lot of children and you put them in a detainment center thus inflicting chronic trauma upon them that’s called child abuse.
1	This is collective child abuse.
1	This is collective child abuse.
1	And when this is crime–both of those things are a crime and if your government does it that doesn’t make it less of a crime.
1	These are state-sponsored crimes.
1	And what President–and what President Trump has done is not only attack these children, not only demonize these immigrants, he is attacking a basic principle of America’s moral core.
1	We open our hearts to the stranger.
1	This is extremely important and it’s also important for all of us remember and I have great respect for everyone who is on this–on this–on this stage but we are going to talk about what to do about healthcare.
1	Well, where have you been guys?
1	Because if it’s not just the matter of a plan and I haven’t heard anybody on this stage who has talked about American  in Latin America and how we might have in the last few decades contributed to something being more helpful(SP).
1	Senator Gillibrand what would you do as President with a reality?
1	Well, one of the worst things about President Trump that he has done to this country is he has torn apart the moral fabric of who we are.
1	When he started separating children at the border from their parents the fact that seven children have died in his custody, the fact that dozens of children have been separated from their parents and they have no plan to reunite them so I would do a few things.
1	First, I would fight for comprehensive immigration reform with a pathway to citizenship.
1	Second, I would reform how we treat asylum-seekers at the border.
1	I would have a community-based treatment center where you are doing it within the communities where asylum-seekers are given lawyers, where there is real immigration judges, not employees of the Atty.
1	Gen.
1	but appointed for life and have a community-based system.
1	I would fund borders security but the worst thing President Trump has done is he has diverted the funds away from cross-border terrorism, cross-border human trafficking, drug trafficking and gun trafficking and he is given that money to the for-profit prisons.
1	I would not be spending money in for profit prisons–
1	We had–
1	–to lock up children and asylum-seekers.
1	We had a very spirited debate on this stage last night on the topic of decriminalization of the border.
1	If–if you would be so kind raise your hand if you think it should be a civil offense rather than a crime to cross the border without documentation?
1	Can we keep the hands up so we can see them?
0	Well, I think it’s a bold approach.
