RowID	Speaker	SpeakerInfo	Question	Topic	Text
19	O’ROURKE	Candidate	3.0	Top tax rate	This economy has got to work for everyone. And right now, we know that it isn’t. And it’s going to take all of us coming together to make sure that it does. (SPEAKING IN SPANISH) Right now, we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revived because we’ve returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now…
30	BOOKER	Candidate	4.0	breaking up of tech companies	I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete. One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. And I’ll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.
39	CASTRO	Candidate	5.0	Gender Pay gap	Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that. And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.
43	De Blasio	Candidate	6.0	Income Inequality	BLASIO: Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we’re supposed to be for a 70 percent tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we’ve proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money. What I say to them every single time is, there’s plenty of money in this world, there’s plenty of money in this country. It’s just in the wrong hands. Democrats have to fix that. (APPLAUSE)
49	RYAN	Candidate	7.0	Manufacturing Jobs	Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico. I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60 percent haven’t seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we’re going to dominate building electric vehicles, there’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry…
57	KLOBUCHAR	Candidate	8.0	Healthcare	Well, I think it’s a bold approach. It’s something that Barack Obama wanted to do when we were working on the Affordable Care Act. And that is a public option. I am just simply concerned about kicking half of America off of their health insurance in four years, which is exactly what this bill says. So let me go on beyond that. There is a much bigger issue in addition to that, and that is pharmaceuticals. The president literally went on TV, on Fox, and said that people’s heads would spin when they see how much he would bring down pharmaceutical prices. Instead, 2,500 drugs have gone up in double-digits since he came into office. Instead, he gave $100 billion in giveaways to the pharma companies. For the rest of us, for the rest of America, that’s what we call at home all foam and no beer. We got nothing out of it. And so my proposal is to do something about pharma, to take them on, to allow negotiation under Medicare, to bring in less expensive drugs from other countries. And pharma thinks they own Washington? Well, they don’t own me.
87	INSLEE	Candidate	9.0	Abortion	It should not be an option in the United States of America for any insurance company to deny a woman coverage for their exercise of their right of choice. And I am the only candidate here who has passed a law protecting a woman’s right of reproductive health in health insurance, and I’m the only candidate who has passed a public option. And I respect everybody’s goals and plans here, but we do have one candidate that’s actually advanced the ball. And we’ve got to have access for everyone. I’ve done it as a public option.
100	BOOKER	Candidate	11.0	Opiod Crisis	They should absolutely be held criminally liable, because they are liable and responsible. This is one of the reasons why well before I was running for president I said I would not take contributions from pharma companies, not take contributions from corporate PACs, or pharma executives, because they are part of this problem. And this opioid addiction in our country, we in cities like mine have been seeing how we’ve tried to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical companies that are responsible help to pay for that.
105	CASTRO	Candidate	12.0	Undocumented Immigrants	Thank you very much, Jose. I’m very proud that in April I became the first candidate to put forward a comprehensive immigration plan. And we saw those images… … watching that image of Oscar and his daughter, Valeria, is heartbreaking. It should also piss us all off. If I were president today — and it should spur us to action. If I were president today, I would sign an executive order that would get rid of Trump’s zero-tolerance policy, the remain in Mexico policy, and the metering policy — this metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river. They had been playing games with people who are coming and trying to seek asylum at our ports of entry. Oscar and Valeria went to a port of entry, and then they were denied the ability to make an asylum claim, so they got frustrated and they tried to cross the river, and they died because of that.
167	BOOKER	Candidate	13.0	Iran Nuclear Deal	May I address that? First and foremost, it was a mistake to pull out of that deal. And one of the reasons why we’re seeing this hostility now is because Donald Trump is marching us to a far more dangerous situation. Literally, he took us out of a deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10, 20 years. And now we see Iran threatening to go further and who are pulled — being pulled further and further into this crisis. We need to renegotiate and get back into a deal, but I’m not going to have a primary platform to say unilaterally I’m going to rejoin that deal. Because when I’m president of the United States, I’m going to do the best I can to secure this country and that region and make sure that if I have an opportunity to leverage a better deal, I’m going to do it.
226	BOOKER	Candidate	16.0	Supreme Court Nominees	I’m going to use 20 of my seconds just to say there’s one thing we don’t all agree with when it comes to guns, and I think it’s common sense, and over 70 percent of Americans agree with me. If you need a license to drive a car, you should need a license to buy and own a firearm. And not everybody in this field agrees with that. But in states like Connecticut that did that, they saw 40 percent drops in gun violence and 15 percent drops in suicides. We need to start having bold agendas on guns. When it comes to the Supreme Court, very clearly, we — I agree with my friend, Secretary Castro. We are going to get to 50 votes in the Senate. This is a team sport. Whoever is our nominee needs to campaign in places like South Carolina, because we can elect Jamie Harrison. They need to campaign in places like Iowa, because we can win a Senate seat there. This is about getting us back to having 50 votes in the Senate and more so that we cannot only balance the Supreme Court, but start to pass an aggressive agenda that, frankly, isn’t so aggressive, because most of America agrees with the policy objectives of our party.
281	GABBARD	Candidate	19.0	LGBTQ	Let me say that there is no one in our government at any level who has the right to tell any American who they should be allowed to love or who they should be allowed to marry. My record in Congress for over six years shows my commitment to fighting for LGBTQ equality. I serve on the Equality Caucus and recently voted for passage of the Equality Act. Maybe many people in this country can relate to the fact that I grew up in a socially conservative home, held views when I was very young that I no longer hold today. I’ve served with LGBTQ servicemembers, both in training and deployed downrange. I know that they would give their life for me and I would give my life for them. It is this commitment that I’ll carry through as president of the United States, recognizing that there are still people who are facing discrimination in the workplace, still people who are unable to find a home for their families. It is this kind of discrimination that we need to address.
296	O’ROURKE	Candidate	20.0	Foreign Policy	John, appreciate the question. The answer is yes, but that action should always be undertaken with allies and partners and friends. When the United States presents a united front, we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer, the kind of genocide that we saw in Rwanda, the kind of genocide we want to stop going forward. But unfortunately, under this administration, President Trump has alienated our allies and our friends and our alliances. He’s diminished our standing in the world and he’s made us weaker as a country, less able to confront challenges, whether it’s Iran or North Korea or Vladimir Putin in Russia, who attacked and invaded our democracy in 2016, and who President Trump has offered another invitation to do the same. He’s embraced strongmen and dictators at the expense of the great democracies. As president, I will make sure that we live our values in our foreign policy. I will ensure that we strengthen those alliances and partnerships and friendships and meet any challenge that we face together. That makes America stronger.
410	SANDERS	Candidate		Opening statements	Well, you are quite right. We have a new vision for America and at a time when we have three people in this country owning more wealth than the bottom half of America, while 500,000 people are sleeping out on the streets today we think it is time for change, real change. And by that I mean that healthcare in my view is a human right and we have got to pass a Medicare for all single-payer system. Under that system by the way vast majority of the people in this country will be paying significantly less for healthcare than they are right now. I believe that education is the future for this country and that is why I believe that we must make public colleges and universities tuition-free and eliminate student debt and we do that by placing a tax on Wall Street. Every proposal that I have brought forth is fully paid for.
418	BIDEN	Candidate		Biden addresses income inequality	What I meant by that is look, Donald Trump thinks Wall Street built America. Ordinary middle-class Americans built America. My dad used to have an expression he said Joe a job is about a lot more than a paycheck; it’s about your dignity, it’s about respect, it’s being able to look your kid in the eye and say everything’s going to be okay. Too many people who are in the middle class and poor have had the bottom fall out under this proposal. What I am saying is that we’ve got to be straightforward. We have to make sure we understand that to return dignity to the middle class they have to have insurance that is covered and they can afford it. They have to make sure that we (INAUDIBLE) situation where there’s continuing education and they are able to pay for it and they have to make sure that they are able to breathe air that is–is–is clean and they–they have water that they can drink. Look, Donald Trump has put us in a horrible situation. We do have enormous income inequality and one thing I agree honestly can make massive cuts in the $1.6 trillion in tax loopholes out there and I would be going about eliminating Donald Trump’s tax cuts for the wealthy.
421	HARRIS	Candidate	2.0	Sen. Harris on whether candidates should explain how to pay for their proposals	Well, let me tell you something. I–I hear that question, but where was that question when the Republicans and Donald Trump passed a tax bill that–that benefits the top 1 percent and—the biggest corporations in the–this country, contributing at least a–$1 trillion to the debt of America, which middle-class families will pay for one way or another. Working families need support and need to be lifted up, and frankly this economy is not working or working people. For too long, the rules have been written in the favor of the people who have the most and not in favor of the people who work the most, which why I am proposing that we change the tax code so, for every family that is making less than $100,000 year, they will receive a tax credit that they can collect, up to $500 a month, which will make all the difference between those families being able to get through the end of the month with dignity and was support or not. And on day one, I will repeal that tax bill that benefits the top 1 percent and the biggest corporations in America.
423	HICKENLOOPER	Candidate	3.0	Candidates are asked about ‘socialism’	Well, I think that the bottom line is, if we don’t clearly define that we are not socialists, the Republicans are going to come at us every way they can and–and call us socialists. And if you look at the Green New Deal, which I admire the sense of urgency and how important it is to do climate change, I’m a scientist, but we can’t promise every American a government job if you want to get universal healthcare coverage. I believe that healthcare is a right and not a privilege, but you can’t expect to eliminate private insurance for 180 million people, many of whom don’t want to give it up. In Colorado, we brought businesses and nonprofits together. We got to near universal healthcare coverage. We were the first state in America to–to bring the environmental community and the oil and gas industry to address, aggressively address methane emissions. And we were also the first place to–to expand reproductive rights on a scale basis that we reduced teen pregnancy by 54 percent. We’ve done the big progressive things people said it couldn’t be done. I’ve done what pretty much everyone else up here is still talking about doing.
460	SWALWELL	Candidate	5.0	Rep. Swalwell and Biden on generational change, and Yang explains his economic plan	I got $100,000 in student loan debt myself. I tell you–if I count on the people who have been in government for the past 30 years who were around when this problem was created to be the ones to solve it it is going to be the next generation, the 40 million of us who can’t start a family. Can’t take a good idea and start a business and can’t buy our first home. This is the generation that’s going to be able to solve student loan debt. This generation is ready to lead.
501	HARRIS	Candidate	6.0	Sen. Harris’ ‘food fight’ moment	Hey, guys. You know what? America does not want to witness a food fight. They want to know how we’re going to put food on their table. So, on that point, part of the issue that is at play in America today, and we’ve all been traveling around the country, I certainly have, I’m meeting people who are working two and three jobs. You know, this president walks around talking about and flouting his great economy, right? My great economy. My great economy. You ask him, well, how are you measuring this greatness of this economy of yours and he talks about the stock market. Well, that’s fine if you own stocks. So many families in America do not. You ask him how are you measuring the greatness of this economy of yours and they point to the jobless numbers and the unemployment numbers. Well, yeah, people in America are working. They’re working two and three jobs. So, when we talk about jobs, let’s be very clear. In our America, no one should have to work more than one job to have a roof over their head and food on the table.
648	YANG	Candidate	9.0	Yang and Mayor Buttigieg on concerns about China	Well, I just want to agree that I think Russia is our biggest geopolitical threat because they’ve been hacking our democracy successfully. They’ve been laughing their asses off about it for the last couple of years and we should focus on that before we start worrying about other threats. Now, China, they do–they do (INAUDIBLE) property. It’s a massive problem. But the tariffs and the trade war are just punishing businesses and producers and workers on both sides. I met with a farmer in Iowa who said he spent six years building up a buying relationship in China that’s now disappeared and gone forever. And the beneficiaries have not been American workers or–or people in China. It’s been Southeast Asia and other producers that have then stepped into the void. So, we need to–to crack down on Chinese malfeasance in the trade relationship but the tariffs and the trade war are the wrong way to go.
665	BUTTIGIEG	Candidate	11.0	Mayor Buttigieg speaks out on civil rights and the shooting in his hometown	Because I couldn’t get it done. My community is in anguish right now because of an officer involved shooting. A black man Eric Logan killed by a white officer. And I’m not allowed to take sides until the investigation comes back. The officer says he was attacked with a knife, but he didn’t have his body camera on. It’s a mess. And we’re hurting. And I could walk you through all of the things that we have done as a community–all of the steps that we took from bias training to de-escalation but it didn’t save the life of Eric Logan. And when I look into his mother’s eyes I have to face the fact and nothing that I say will bring him back. This is an issue that is facing our community and so many communities around the country. And until we move policing out from the shadow of systemic racism whatever this particular incident teaches us we will be left with the bigger problem of the fact that there is a wall of mistrust put up one racist act at a time. Not just from what has happened in the past but what’s happening around the country in the present. It threatens the well being of every community. And I am determined to bring about a day when a white person driving a vehicle and a black person driving a vehicle when they see a police officer approaching feels the exact same thing. A feeling not of fear but of safety. I’m determined to bring that day about.
713	SANDERS	Candidate	13.0	Candidates comment on diversity	No, absolutely not. Unlike the Republican party we encourage diverse city, we believe in diverse city, that is what America is up about. But in addition to diversity in terms of having more women, more people from the GB–L–LGBT community we also have to do something else and that is we have to ask ourselves a simple question and that how come to day the worker in the middle of our economy is making no more money than he or she made 45 years ago and that in the last 30 years the top 1 percent has seen a $21 trillion increase in their wealth. We need a party that is diverse but we need a party that has the guts to stand up to the powerful special interest who have so much power over the economic and political life of this country.
718	BENNET	Candidate	14.0	Candidates on bridging the partisan divide and working with Mitch McConnell	Gridlock will not magically disappear as long as Mitch McConnell is there, first. Second, second, that is why it is so important for us to when not just the presidency to have somebody that can run in all 50 states but to–but to win the Senate as well and that is why we have to propose policies that can be supported like Medicare X (PH) so that we can build a broad coalition of Americans to overcome broken Washington DC. I agree with what Senator Gillibrand was saying and share a lot of her views. We need to in gerrymandering in wash–and we need to end political gerrymandering in Washington. The court today said they couldn’t do anything about it. We need to overturn Citizens United. The court was the one that gave us Citizens United. And the attack on voting rights in Shelby versus Holder is something we need to deal with. All of those things has happened since Vice President Biden was in the Senate. And we face structural problems that we have to overcome with a broad coalition. It’s the only way we can do it. We need to root out the corruption in Washington, expand people’s right to get to the polls.
758	SANDERS	Candidate	15.0	Candidates on abortion rights	Well, my plan is somebody who believes, for a start, that a woman’s right to control her own body is a constitutional right, that government and politicians should not infringe on that right. We will do everything we can to defense our–Roe versus Wade. Second of all, let me make– –Let me make–let me make a promise here. You asked about litmus test. My litmus test is I will never appoint any–nominate any justice to the Supreme Court unless that justice is 100 percent clear he or she will defend Roe v. Wade. Third of all, I do not believe in packing the court.
771	HARRIS	Candidate	16.0	Candidates on climate	Well, first of all I don’t even call it climate change. It’s a climate crisis. It represents an existential threat to us as a species. And the fact that we have a President of the United States who has embraced science fiction over science fact will be to our collective peril. I visited while the embers were smoldering the wildfires in California I spoke with firefighters who were in the midst of fighting a fire while their own homes were burning. And on this issue it is a–it is a critical issue that is about what we must do to confront what is immediate and before us right now. That is why I support a Green New Deal. It is why I believe on day one and as President will re-enter us in the Paris agreement because we have to take these issues seriously and frankly, we have a President of the United States we talked about you asked before what is the greatest national security threat to the United States? It’s Donald Trump. And I’m going to tell you why. And I’m going to tell you why because I agree climate change represents an existential threat. He denies the science. You want to talk about North Korea, real threat in terms of nuclear arsenal but what doe she do? He embraces Kim Jong Un a dictator
784	BENNET	Candidate	17.0	On whether ‘partisan gridlock’ would disappear	Gridlock will not magically disappear as long as Mitch McConnell is there, first. Second, second, that is why it is so important for us to when not just the presidency to have somebody that can run in all 50 states but to–but to win the Senate as well and that is why we have to propose policies that can be supported like Medicare X so that we can build a broad coalition of Americans to overcome broken Washington DC. I agree with what Senator Gillibrand was saying and share a lot of her views. We need to in gerrymandering in wash–and we need to end political gerrymandering in Washington.
871	SWALWELL	Candidate	20.0	Candidates on gun control	Keep your pistols, keep your rifles, keep your shotguns but we can take the most dangerous weapons from the most dangerous people. We have the NRA on the ropes because of the Moms because the Brady Group, because of Giffords, because of March for Our Lives. But I’m the only candidate on this stage calling for a ban and buyback of every single assault weapon in America. I’ve seen the plans of the other candidates here. They would all leave 15 million assault in our communities. They wouldn’t do a single thing to save a single life in Parkland. I will approach this issue as a prosecutor. I will approach it as the only person on this stage who has voted and passed background checks–but also as a parent of a generation who sends our children to school where we look at what they’re wearing so we can remember it in case we have to identify them later. A generation who has seen thousands of black children killed in our streets and a generation who goes to the theater and we actually where the fire exits are. We don’t have to live this way. We must be a country who loves our children more than we love our guns.
918	WILLIAMSON	Candidate	21.0	Candidates on the first relationship they would reset as president	Well, one of my first phone calls would be to call the European leaders and say we are back because I totally understand how important it is that the United States be part of the Western alliance.
944	BIDEN	Candidate	22.0	Biden on why Americans should trust his foreign policy judgment after he expressed regret for supporting the Iraq war	Because once we–once Bush abuse that power what happened was we got elected after that. I made sure the president turned to me and said Joe, get our combat troops out of Iraq. I was responsible for getting 150,000 combat troops out of Iraq and my son was one of them. I also think we should not have combat troops in Afghanistan. It’s long overdue. It should end. And I thirdly I believe that you are not going to find anybody who has pulled together more of our alliances to deal with what is the real stateless threat out there. We cannot go it alone in terms of dealing with terrorism. So I would eliminate the–the act that allowed us to go into war and not the AU and fan make sure that it could only be used for what it’s intended–what its intent was and that is to go after terrorist but never do it alone. That is why we have to repair our alliances. We put together 65 countries to make sure we dealt with ISIS in Iraq and other places. That is what I would do. That is what I have done and I know how to do it.
365	DELANEY	Candidate	23.0	Closing Statements	Closing now?
367	DELANEY	Candidate	23.0	Closing Statements	Together we are on a mission. We’re on a mission to find the America that’s been lost, lost through infighting, lost through inaction. We’re so much better than this. We’re a country that used to do things. We saved the world. We created the American dream for millions of people like myself, the grandson of immigrants, the son of a union electrician who went on to become a successful business leader and create thousands of jobs. But we did these things with real solutions, not with impossible promises. And those are the roots that we have to get back to. I’m running for president to solve these problems, to build infrastructure, to fix our broken health care system, to invest in communities that have been left behind, to improve public education.
369	DELANEY	Candidate	23.0	Closing Statements	I just don’t want to be your president to be your president.
371	DELANEY	Candidate	23.0	Closing Statements	I want to be your president to do the job.
373	DELANEY	Candidate	23.0	Closing Statements	This is not about me. This is about getting America working again.
376	De Blasio	Candidate	23.0	Closing Statements	BLASIO: It matters. It matters in this fight for the heart and soul of our party that we nominate a candidate who has seen the face of poverty and didn’t just talk about it, but gave people $15 minimum wage. It matters that we nominate a candidate who saw the destruction wrought by a broken health care system and gave people universal health care. It matters that we choose someone who saw the wasted potential of our children denied pre-K and gave it to every single one of them for free. These things really matter. And these are the things that I’ve done in New York and I want to do the same for this whole country, because putting working people first, it matters. We need to be that party again. Let’s work together. With your help, we can put working people first again in America.
379	INSLEE	Candidate	23.0	Closing Statements	(OFF-MIKE) grandchildren, we love them all. And when I was thinking about whether to run for president, I made a decision. I decided that on my last day on Earth, I wanted to look them in the eye and tell them I did everything humanly possible to protect them from the ravages of the climate crisis. And I know to a moral certainty, if we do not have the next president who commits to this as the top priority, it won’t get done. And I am the only candidate — frankly, I’m surprised. I’m the only candidate who’s made this commitment to make it the top priority. If you join me in that recognition of how important this is, we can have a unified national mission. We can save ourselves. We can save our children. We can save our grandchildren. And we can save literally the life on this planet. This is our moment.
382	RYAN	Candidate	23.0	Closing Statements	There’s nothing worse than not being heard. Nothing worse than not being seen. And I know that because I’ve represented for 17 years in Congress a forgotten community. They’ve tried to divide us, who’s white, who’s black, who’s gay, who’s straight, who’s a man, who’s a woman. And they ran away with all the gold because they divided the working class. It’s time for us to come together. I don’t know how you feel, but I’m ready to play some offense. I come from the middle of industrial America, but these problems are all over our country. There’s a tent city in L.A. There’s homeless people and people around our country who can’t afford a home. It’s time for us to get back on track. The teacher in Texas, the nurse in New Hampshire, the waitress in Wisconsin, all of us coming together, playing offense with an agenda that lifts everybody up.
384	RYAN	Candidate	23.0	Closing Statements	I will only promise you one thing. When I walk into that Oval Office every morning, you will not be forgotten.
386	RYAN	Candidate	23.0	Closing Statements	Your voice will be heard. Thank you.
388	GABBARD	Candidate	23.0	Closing Statements	Our nation was founded on the principles of service above self, people who fled kings, who literally prospered on the backs and the sacrifices of people, coming here to this country, instead putting in place a government that is of, by, and for the people. But that’s not what we have. Instead, we have a government that is of, by, and for the rich and powerful. This must end. As president, our White House — our White House will be a beacon of light, providing hope and opportunity, ushering in a new century where every single person will be able to get the health care they need, where we will have clean air to breathe and clean water to drink, where we will have good-paying jobs and a new green economy. Join me in ushering in this new century with peace, prosperity, opportunity, and justice for all.
