label	text
0	I would make sure we move in the direction of rapid testing, investing in rapid testing.
0	I would make sure that we set up national standards as to how to open up schools and open up businesses so they can be safe, and give them the wherewithal and financial resources to be able to do that.
0	We're in a situation now where the New England Medical Journal — one of the serious, most serious journals in the whole world — said for the first time ever that this, the way this President has responded to this crisis has been absolutely tragic.
0	And so folks, I will take care of this, I will end this, I will make sure we have a plan.
0	Take a look what New York has done in terms of turning the curve down, in terms of the number of people dying.
0	And I don't look at this in terms of what he does, blue states and red states.
0	They’re all the United States.
0	And look at the states that are having such a spike in the coronavirus.
0	They’re the red states.
0	They are the states in the Midwest, they are the states in the upper Midwest, that's where the spike is occurring significantly, but they're all Americans.
0	They're all Americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need.
0	The money's already been passed to do that.
0	It's been out there since the beginning of this summer and nothing's happened.	
0	I made it clear.
0	And I asked everyone else to take the pledge.
0	I made it clear that any country, no matter who it is, that interferes in American elections will pay a price.
0	They will pay the price.
0	It has been overwhelmingly clear in this election — I won't even get into the last one — this election, that Russia has been involved.
0	China has been involved to some degree, and now we learned that, that Iran is involved.
0	They will pay a price if I'm elected.
0	Interfering with American sovereignty.
0	That's what's going on right now.
0	They're interfering with American sovereignty.
0	And to the best of my knowledge, I don't think the President said anything to Putin about it.
0	I don't think he's talking a lot.
0	I don't think he said a word.
0	I don't know why he hasn't said a word to Putin about it.
0	And I don't know what he has recently said, if anything, to the Iranians.
0	My guess is he’d probably be more outspoken with regard to the Iranians.
0	But the point is this, folks.
0	We are in a situation where we have foreign countries trying to interfere in the outcome of our election.
0	His own national security advisor told him that what is happening with his buddy — well, I won't, I shouldn't — I will — his buddy Rudy Giuliani.
0	He's being used as a Russian pawn.
0	He's being fed information that is Russian, that is not true.
0	And then what happens?
0	Nothing happens.
0	And then you find out that everything is going on here about Russia is wanting to make sure that I do not get elected the next President of the United States because they know I know them, and they know me.
0	I don't understand why this President is unwilling to take on Putin when he's actually paying bounties to kill American soldiers in Afghanistan, when he's engaged in activities that are trying to destabilize all of NATO.
0	I don't know why he doesn't do it but it's worth asking the question.
0	Why isn't that being done?
0	Any country that interferes with us will, in fact, pay a price because they're affecting our sovereignty.
0	What I’d make China do is play by the international rules, not like he has done.
0	He has caused the deficit in China to go up not down — with China, go up not down.
0	We are making sure that in order to do business in China, you have to give all your intellectual property.
0	You have to get/have a partner in China, it is 51%.
0	We would not do that at all, number one.
0	Number two, we're in a situation where China would have to play by the rules internationally as well.
0	When I met with Xi, and when I was still vice president, he said ‘we're setting up air identification zones in the South China Sea, you can't fly through them.’ I said, ‘we're gonna fly through them.
0	We just flew B52/B1 bombers through it.
0	We're not going to pay attention.’ They have to play by the rules, and what's he do?
0	He embraces guys like the thugs like in North Korea, and, and, and the Chinese president and Putin and others, and he pokes his finger in the eye of all our friends, all of our allies.
0	We make up only — we’ re 25%.
0	25% of the world's economy.
0	We need to be having the rest of our friends with us, saying to China, these are the rules.
0	You play by them or you're going to pay the price for not paying by them, economically.
0	That's the way I will run it.
0	And that's what we did and upholding steel tariffs and a range of other things when we were president and vice president.
0	When I met with Barack Obama, we sat in the White House, right at the beginning had a great conversation, was supposed to be 15 minutes and it was well over an hour.
0	He said the biggest problem we have is North Korea.
0	He indicated we will be in a war with North Korea.
0	Guess what, it would be a nuclear war, and he does have plenty of nuclear capability.
0	In the meantime, I have a very good relationship with him, different kind of a guy but he probably thinks the same thing about me.
0	We have a different kind of relationship.
0	We have a very good relationship, and there's no war.
0	And you know, about two months ago, he broke into a certain area.
0	They said, ‘oh there's going to be trouble.’ I said, ‘No, they're not.
0	Because he's not going to do that.’ And I was right.
0	Look, instead of being in a war where millions of people — Seoul, you know, is 25 miles away, millions and millions, 32 million people in Seoul — millions of people would be dead right now.
0	We don’t have a war, and I have a good relationship.
0	When I met with Barack Obama, we sat in the White House, right at the beginning had a great conversation, was supposed to be 15 minutes and it was well over an hour.
0	He said the biggest problem we have is North Korea.
0	He indicated we will be in a war with North Korea.
0	Guess what, it would be a nuclear war, and he does have plenty of nuclear capability.
0	In the meantime, I have a very good relationship with him, different kind of a guy but he probably thinks the same thing about me.
0	First of all, I've already done something that nobody thought was possible.
0	Through the legislature, I terminated the individual mandate.
0	That is the worst part of Obamacare, as we call it.
0	The individual mandate -- we have to pay a fortune for the privilege of not having to pay for bad health insurance.
0	I terminate it; it's gone.
0	Now it's in court, because Obamacare is no good.
0	But then I made a decision, ‘Run it as well as you can’ --  to my people, great people -- ‘Run it as well as you can.’ I could have gone the other route and made everybody very unhappy.
0	They ran it.
0	Premiums are down, everything's down.
0	Here's the problem.
0	No matter how well you run it, it's no good.
0	What we'd like to do is terminate it.
0	We have the individual mandate done.
0	I don't know that it's going to work.
0	If we don't win, we will have to run it and we'll have Obamacare, but it will be better run.
0	But it no longer is Obamacare.
0	Because without the individual mandate, it is much different.
0	Pre-existing conditions will always stay.
0	What I would like to do is a much better health care, much better.
0	We’ll always protect people with pre existing -- so I'd like to terminate Obamacare, come up with a brand new beautiful health care.
0	The Democrats will do it because there'll be tremendous pressure on them.
0	And we might even have the House at that time.
0	And I think we're going to win the House, okay?
0	You'll see, but I think we're gonna win the House.
0	But come up with a better health care, always protecting people with pre existing conditions -- and one thing very important.
0	We have 180 million people out there that have great private health care, far more than we're talking about with Obamacare.
0	Joe Biden is going to terminate all of those policies.
0	These are people that love the health care, people that have been successful -- middle income people -- been successful.
0	They have 180 million plans, 180 million people, families under what he wants to do, which will basically be socialized medicine.
0	He won't even have a choice.
0	They want to terminate 180 million plans.
0	We have done an incredible job with health care.
0	And we're going to do even better.
0	What I'm going to do is pass Obamacare with a public option -- become Bidencare.
0	Public option is an option that says that if you, in fact, do not have the wherewithal to be -- if you qualify for Medicaid, and you do not have the wherewithal in your state to get Medicaid, you automatically are enrolled, providing competition for insurance companies.
0	That's what's going to happen.
0	Secondly, we're going to make sure we reduce the premiums and reduce drug prices by making sure that there's competition that doesn't exist now by allowing Medicare to negotiate drug prices with the insurance companies.
0	Thirdly, the idea that I want to eliminate private insurance -- the reason why I had such a fight for, with 20 candidates for the nomination, was I support private insurance.
0	That's why I did not -- not one single person, private insurance, would lose their insurance under my plan, nor did they under Obamacare.
0	They did not lose their insurance, unless they chose they wanted to go to something else.
0	Lastly, we're going to make sure we're in a situation that we've actually protect pre existing -- there's no way he can protect pre existing conditions.
0	None, zero, you can't do it in the ether.
0	He's been talking about this for a long time.
0	There is no -- he's never come up with a plan.
0	I guess we're gonna get the pre existing condition plan the same time we get the infrastructure plan that we waited since 17, 18, 19, 20.
0	The fact that -- I still have a little, a few more minutes, I know you're getting anxious -- the fact is that he’s already cost the American people because of his terrible handling of the COVID virus and economic spillover.
0	10 million people have lost their private insurance, and he wants to take away 22 million more people who have been under Obamacare, and over 110 million people with pre existing conditions.
0	And all the people from COVID are going to have pre existing conditions.
0	What are they going to do?
0	The bill that was passed in the House was a bailout of badly run high crime, Democrat, all run by Democrats, cities and states.
0	It was a way of getting a lot of money, billions and billions of dollars to these cities.
0	It was also a way of getting a lot of money from our people's pockets to people that come into our country illegally.
0	We were going to take care of everything for them.
0	And what that does, and I'd love to do that,  I'd love to help them.
0	But what that does, everybody all over the world will start pouring into our country.
0	We can't do it.
0	This was a way of taking care of them.
0	This was a way of sending them things that had nothing to do with COVID, as for your question, but it was really a big bailout for badly run Democrat cities and states.
1	Let me just say.
1	They built cages.
1	You know, they used to say I built the cages.
1	And then they had a picture in the newspaper.
1	There was a picture of these horrible cages and they said, ‘Look at these cages, President Trump built them.’ And then it was determined they were built in 2014.
1	That was him.
1	Do you have a plan to reunite the kids?
1	Yes, we're working on a very -- we're trying very hard.
1	But a lot of these kids come up without the parents, they come over through cartels and the coyotes and through gangs.
1	Vice President Biden, let me bring you into this conversation.
1	Quick response and then another question to you.
1	These 500 plus kids came with parents.
1	They separated them at the border to make it a disincentive to come to begin with.
1	Big real tough, really strong.
1	And guess what?
1	They cannot -- it’s not coyotes that bring them over, their parents were with them.
1	They got separated from their parents.
1	And it makes us a laughingstock and violates every judge of who we are as a nation.
1	Let me ask you a follow up --
1	Kristen, they did it, we changed the policy.
1	They did it.
1	We changed it.
1	They set up the cages.
1	They -- who built the cages?
1	So let's talk about --
1	Who built the cages, Joe?
1	Let’s talk about what we’re talking about.
1	What happened?
1	Parents were ripped -- their kids were ripped from their arms and separated.
1	And now they cannot find over 500 sets of those parents and those kids are alone.
1	Nowhere to go, nowhere to go.
1	It's criminal.
1	It's criminal.
1	Let me just --
1	Let me say this.
1	They worked it out, we brought reporters and everything.
1	They are so well taken care of.
1	They're in facilities that were so clean --
1	But some of them haven’t been reunited --
1	But just answer one question.
1	Who built the cages?
1	A big ask of that, who built the cages?
1	Let me ask about your immigration policy, Mr. Vice President.
1	The Obama administration did fail to deliver immigration reform, which had been a key promise during the administration.
1	It also presided over record deportations as well as family detentions at the border before changing course.
1	So why should voters trust you with an immigration overhaul now?
1	Because we made a mistake.
1	It took too long to get it right.
1	Too long to get it right.
1	I'll be President of the United States, not Vice President of the United States.
1	And the fact is, and I’ve made it very clear, within 100 days, I'm going to send to the United States Congress a pathway to citizenship for over 11 million undocumented people.
1	And all those so called Dreamers, those DACA kids, they're going to be legally certified again, to be able to stay in this country, and put on a path to citizenship.
1	The idea that they are being sent home by this guy, and they want to do, that is they go to a country they've never seen before.
1	I can imagine you're five years old, your parents are taking you across the Rio Grande River and it’s and it's illegal.
1	You say ‘Oh, no, Mom, leave me here.
1	I'm not gonna go with you.’ They’ve been here.
1	Many of them are model citizens.
1	20,000 are first responders out there taking care of people during this crisis.
1	We owe them.
1	We owe them.
1	President Trump, your response.
1	He had eight years to do what he said he was going to do.
1	And I've changed without having a specific -- we get rid of catch and release, got rid of a lot of horrible things that they put in and that they live with.
1	But he had eight years he was vice president.
1	He did nothing except build cages to keep children in.
1	Vice President, what’s your response?
1	The catch and release, you know what he's talking about there?
1	If in fact, you had family, came across, they're arrested.
1	They, in fact, were given a date to show up for their hearing.
1	They were released.
1	And guess what, they showed up for the hearing.
1	This is the first President in the history of the United States of America that anybody seeking asylum has to do it in another country.
1	That's never happened before.
1	That’s never happened before in our country.
1	You come to the United States and you make your case.
1	That’s how you seek asylum, based on the following premise, why I deserve it under American law.
1	They're sitting in squalor on the other side of the river.
1	President Trump, there is --
1	It’s so important.
1	It shows that he has no understanding of immigration of the laws.
1	Catch and release is a disaster.
1	A murderer would come in, a rapist would come in, a very bad person would come in -- we would take their name, we have to release them into our country.
1	And then you say they come back.
1	Less than 1% of the people come back.
1	Not true.
1	We have to send ICE out and Border Patrol out to find them.
1	We would say, ‘Come back in two years, three years -- we're going to give you a court case.
1	You did Perry Mason, we're going to give you a court case.
1	When you say they come back, they don't come back, Joe.
1	They never come back.
1	Only the really --  I hate to say this -- but those with the lowest IQ, they might come back.
1	OK, President Trump, let’s give Vice President Biden a chance to respond, and then we're going to move on to the next section.
1	You don’t know the law, Joe.
1	Vice President Biden, your response.
1	I know the law.
1	What he's telling you is simply not true.
1	They don’t come back.
1	Check it out.
1	All right, let's move on --
1	But we don’t have to worry about it because I terminated it.
1	So we don’t have to worry about it
1	All right, let’s move on to the next section --
1	You have 525 kids not knowing where in God’s name they’re going to be and lost their parents.
1	Go ahead.
1	Yes, I do.
1	And again, he's been in government 47 years.
1	He never did a thing except in 1994, when he did such harm to the Black community.
1	And they were called, and he called them, super predators.
1	And he said that, he said it -- super predators.
1	And they can never live that down.
1	1994, your crime bill, the super predators.
1	Nobody has done more for the Black community than Donald Trump.
1	And if you look, with the exception of Abraham Lincoln--possible exception, but the exception of Abraham Lincoln, nobody has done what I've done.
1	Criminal justice reform, Obama and Joe didn't do it.
1	I don't even think they tried because they had no chance at doing it.
1	They might have wanted to do it.
1	But if you had to see the arms I had a twist to get that done, it was not a pretty picture.
1	And everybody knows it including some very liberal people that cried in my office--they cried in the Oval Office.
1	Two weeks later, they're out saying, ‘Gee, we have to defeat him.’ Criminal justice reform, prison reform, opportunity zones with Tim Scott, a great senator from South Carolina.
1	He came in with this incredible idea for opportunity zones.
1	It’s one of the most successful programs.
1	People don't talk about it.
1	Tremendous investment is being made.
1	Biggest beneficiary, the Black and Hispanic communities and then historically Black colleges and universities.
1	After three years of coming to the office, I love some of those guys, they were great, they came into the office.
1	And they said-- I said, ‘What are you doing after three years?’ I said, ‘Why do you keep coming back?’ ‘Because we have no funding’.
1	I said, ‘You don't have to come back every year’, ‘We have to come back’, because President Obama would never give them long term funding.
1	And I did.
1	Ten-year, long term funding, and I give them more money than they asked for, because I said, ‘I think you need more’.
1	And I said, ‘The only bad part about this is I may never see you again’, because I got very friendly with them and they like me and I like them.
1	But I saved colleges and universities.
1	OK.
1	And we're going to talk about both of your records, but your response to that Vice President?
1	My response to that is I never, ever said what he accused me of saying.
1	The fact of the matter is, in 2000 though, after the crime bill had been in the law for a while, this is the guy who said, ‘The problem with the crime bill, there's not enough people in jail.
1	There's not enough people in jail,’ and go on my website, get the quote the date when he said it, ‘not enough people’.
1	He talked about marauding gangs, young gangs, the people who are going to mauraud our cities.
1	This is a guy who when the Central Park five, five innocent Black kids, he continued to push for making sure that they got the death penalty.
1	None of them were-- none of them were guilty of what the crime, of the crimes that were suggested.
1	Look, and talk about he, granted, he did in fact let 20 people-- he committed 20 people’s sentences.
1	We committed over 1,000 people’s sentences.
1	Over 1,000.
1	The very law he's talking about is a law that, in fact, initiated by Barack Obama.
1	And secondly, we're in a situation here where we-- the federal prison system was reduced by 38,000 people under our administration.
1	And one of the things we should be doing is there should be no, no minimum mandatories in the law.
1	That's why I'm offering $20 billion to states to change their state laws to eliminate minimum mandatories and set up drug courts.
1	Nobody should be going to jail because they have a drug problem.
1	They should be going to rehabilitation, not to jail.
1	We should fundamentally change the system and that's what I'm going to do.
1	But why didn't he do it four years ago?
1	Why didn't you do that four years ago, even less than that?
1	Why didn't you--
1	I am not--
1	You were vice president.
1	You keep talking about all these things you're going to do and you're going to do this.
1	But you were there just a short time ago and you guys did nothing.
1	We did--
1	You know, Joe, I ran because of you.
1	I ran because of Barack Obama, because you did a poor job.
1	If I said you did a good job, I would have never run.
1	I would've never run.
1	I ran because of you.
1	I'm looking at you now, you're a politician.
1	I ran because of you.
1	All right, Vice President Biden, your response to that?
1	And then I do have some questions for both of you.
1	Well, I’ll tell you what, I hope he does look at me because what's happening here is you know who I am, you know who he is, you know his character, you know my character, you know our reputations for honor and telling the truth.
1	I am anxious to have this race.
1	I'm anxious to see this take place.
1	I am-- the character of the country is on the ballot.
1	Our character is on the ballot.
1	Look at us closely.
