RowID	Topic	Speaker	Text
98	National Security	BIDEN	What I’d make China do is play by the international rules, not like he has done. He has caused the deficit in China to go up not down — with China, go up not down. We are making sure that in order to do business in China, you have to give all your intellectual property. You have to get/have a partner in China, it is 51%. We would not do that at all, number one. Number two, we're in a situation where China would have to play by the rules internationally as well.
98	National Security	BIDEN	When I met with Xi, and when I was still vice president, he said ‘we're setting up air identification zones in the South China Sea, you can't fly through them.’ I said, ‘we're gonna fly through them. We just flew B52/B1 bombers through it. We're not going to pay attention.’ They have to play by the rules, and what's he do? He embraces guys like the thugs like in North Korea, and, and, and the Chinese president and Putin and others, and he pokes his finger in the eye of all our friends, all of our allies.
98	National Security	BIDEN	We make up only — we’ re 25%. 25% of the world's economy. We need to be having the rest of our friends with us, saying to China, these are the rules. You play by them or you're going to pay the price for not paying by them, economically. That's the way I will run it. And that's what we did and upholding steel tariffs and a range of other things when we were president and vice president.
127	National Security	TRUMP	When I met with Barack Obama, we sat in the White House, right at the beginning had a great conversation, was supposed to be 15 minutes and it was well over an hour. He said the biggest problem we have is North Korea. He indicated we will be in a war with North Korea. Guess what, it would be a nuclear war, and he does have plenty of nuclear capability. In the meantime, I have a very good relationship with him, different kind of a guy but he probably thinks the same thing about me.
127	National Security	TRUMP	We have a different kind of relationship. We have a very good relationship, and there's no war. And you know, about two months ago, he broke into a certain area. They said, ‘oh there's going to be trouble.’ I said, ‘No, they're not. Because he's not going to do that.’ And I was right. :ook, instead of being in a war where millions of people — Seoul, you know, is 25 miles away, millions and millions, 32 million people in Seoul — millions of people would be dead right now. We don’t have a war, and I have a good relationship.
146	Economy	TRUMP	First of all, I've already done something that nobody thought was possible. Through the legislature, I terminated the individual mandate. That is the worst part of Obamacare, as we call it. The individual mandate -- we have to pay a fortune for the privilege of not having to pay for bad health insurance. I terminate it; it's gone. Now it's in court, because Obamacare is no good. But then I made a decision, ‘Run it as well as you can’ --  to my people, great people -- ‘Run it as well as you can.’ I could have gone the other route and made everybody very unhappy. They ran it. Premiums are down, everything's down. Here's the problem. No matter how well you run it, it's no good.
146	Economy	TRUMP	What we'd like to do is terminate it. We have the individual mandate done. I don't know that it's going to work. If we don't win, we will have to run it and we'll have Obamacare, but it will be better run. But it no longer is Obamacare. Because without the individual mandate, it is much different. Pre-existing conditions will always stay. What I would like to do is a much better health care, much better. We’ll always protect people with pre existing -- so I'd like to terminate Obamacare, come up with a brand new beautiful health care. The Democrats will do it because there'll be tremendous pressure on them. And we might even have the House at that time. And I think we're going to win the House, okay?
146	Economy	TRUMP	You'll see, but I think we're gonna win the House. But come up with a better health care, always protecting people with pre existing conditions -- and one thing very important. We have 180 million people out there that have great private health care, far more than we're talking about with Obamacare. Joe Biden is going to terminate all of those policies. These are people that love the health care, people that have been successful -- middle income people -- been successful. They have 180 million plans, 180 million people, families under what he wants to do, which will basically be socialized medicine. He won't even have a choice. They want to terminate 180 million plans. We have done an incredible job with health care. And we're going to do even better.
148	Economy	BIDEN	What I'm going to do is pass Obamacare with a public option -- become Bidencare. Public option is an option that says that if you, in fact, do not have the wherewithal to be -- if you qualify for Medicaid, and you do not have the wherewithal in your state to get Medicaid, you automatically are enrolled, providing competition for insurance companies. That's what's going to happen. Secondly, we're going to make sure we reduce the premiums and reduce drug prices by making sure that there's competition that doesn't exist now by allowing Medicare to negotiate drug prices with the insurance companies. Thirdly, the idea that I want to eliminate private insurance -- the reason why I had such a fight for, with 20 candidates for the nomination, was I support private insurance. 
148	Economy	BIDEN	That's why I did not -- not one single person, private insurance, would lose their insurance under my plan, nor did they under Obamacare. They did not lose their insurance, unless they chose they wanted to go to something else. Lastly, we're going to make sure we're in a situation that we've actually protect pre existing -- there's no way he can protect pre existing conditions. None, zero, you can't do it in the ether. He's been talking about this for a long time. There is no -- he's never come up with a plan.
148	Economy	BIDEN	I guess we're gonna get the pre existing condition plan the same time we get the infrastructure plan that we waited since 17, 18, 19, 20. The fact that -- I still have a little, a few more minutes, I know you're getting anxious -- the fact is that he’s already cost the American people because of his terrible handling of the COVID virus and economic spillover. 10 million people have lost their private insurance, and he wants to take away 22 million more people who have been under Obamacare, and over 110 million people with pre existing conditions. And all the people from COVID are going to have pre existing conditions. What are they going to do?
190	Economy	TRUMP	The bill that was passed in the House was a bailout of badly run high crime, Democrat, all run by Democrats, cities and states. It was a way of getting a lot of money, billions and billions of dollars to these cities. It was also a way of getting a lot of money from our people's pockets to people that come into our country illegally. We were going to take care of everything for them.
190	Economy	TRUMP	And what that does, and I'd love to do that,  I'd love to help them. But what that does, everybody all over the world will start pouring into our country. We can't do it. This was a way of taking care of them. This was a way of sending them things that had nothing to do with COVID, as for your question, but it was really a big bailout for badly run Democrat cities and states.
206	Immigration	TRUMP	Children are brought here by coyotes and lots of bad people, cartels, and they're brought here and it’s easy to use them to get into our country. We now have a stronger border as we've ever had. We’re over 400 miles of brand new wall, you see the numbers, and we let people in, but they have to come in legally.
244	Race in America	BIDEN	I do. I do. You know, my daughter is a social worker. And she's written a lot about this. She's got a graduate degree from the University of Pennsylvania in social work. So, one of the reasons why I ended up working on the East side of Wilmington, Delaware, which is 90 percent African American, was to learn more about what was going on. When I didn't -- I never had to tell my daughter if she's pulled over, make sure she puts, for traffic stop, puts both hands on top of the wheel. And don't reach for the glove box because someone may shoot you.
244	Race in America	BIDEN	But a Black parent, no matter how wealthy or how poor they are, has to teach their child, when you're walking down the street, don't have a hoodie on when you go across the street, making sure that you, in fact, if you get pulled over, just Yes or No sir, just hands on top of the wheel. Because you are in fact, the victim, whether you're a person making 300,000 -- $300,000-a-year person, or someone who's on food stamps. The fact of the matter is there is institutional racism in America. And we have always said we've never lived up to it. Do we hold these truths to be sovereign, are all men and women are created equal? Guess what -- we have never ever lived up to it.
244	Race in America	BIDEN	We have constantly been moving the needle further and further between inclusion and exclusion. This is the first president come along and says that's the end of that. We're not going to do that anymore. We have to provide for economic opportunity, better education, better health care, better access to schooling, better access to opportunity to borrow money to start businesses. All the things we can do. And I've laid out a clear plan as to how to do those things. Just to give people a shot. It's about accumulating the ability to have wealth, as well as it is to be free from violence.
298	Climate Change	TRUMP	So we have the trillion trees program, we have so many different programs. I do love the environment, but what I want the cleanest, crystal clear water, the cleanest air. We have the best, lowest number in carbon emissions, which is a big standard that I noticed Obama goes with all the time. Not Joe. I haven't heard him use the term because I'm not sure he knows what it represents or means, but I have heard Obama use it.
298	Climate Change	TRUMP	And we have the best carbon emission numbers that we've had in 35 years. Under this administration, we are working so well with industry, but what we can’t do-- Look at China, how filthy it is. Look at Russia. Look at India. It's filthy. The air is filthy. The Paris Accord, I took us out because we were going to have to spend trillions of dollars and we were treated very unfairly. When they put us in there, they did us a great disservice. They were going to take away our businesses.
298	Climate Change	TRUMP	I will not sacrifice tens of millions of jobs, thousands and thousands of companies because of the Paris Accord. It was so unfair. China doesn't kick in until 2030. Russia goes back to a low standard and we kicked in right away. It would-- It would have been-- It would have destroyed our businesses. So, you ready? We have done an incredible job environmentally. We have the cleanest air, the cleanest water and the best carbon emission standards that we've seen in many, many years.
302	Climate Change	BIDEN	Climate change, climate warming, global warming is an existential threat to humanity. We have a moral obligation to deal with it. And we're told by all the leading scientists in the world that we don't have much time. We're going to pass the point of no return within the next eight to 10 years. Four years of this man eliminating all the regulations that were put in by us to clean up the climate, to clean up-- to limit the-- limit of admissions will put us in a position where we're going to be in real trouble. Here's where we have a great opportunity, I was able to get both all the environmental organizations as well as labor, people worried about jobs, to support my climate plan.
302	Climate Change	BIDEN	Because what it does, it will create millions of new, good-paying jobs. We're going to invest in, for example, 500,000-- 50,000, excuse me, 50,000 charging stations on our highways so that we can own the electric car market in the future. In the meantime, China's doing that. We're going to be in a position where we're going to see to it that we're going to take 4 million existing billion, buildings and 2 million existing homes and retrofit them so they don't leak as much energy, saving hundreds of millions of barrels of oil in the process and creating a significant number of jobs.
302	Climate Change	BIDEN	And by the way, the whole idea of what this is all going to do, it's going to create millions of jobs and it's going to clean the environment. Our health and our jobs are at stake. That's what's happening. And we-- right now, by the way, Wall Street firm has indicated that my plan-- My plan will, in fact, create 18.6 million jobs, 7 million more than his. This from Wall Street and I’ll create $1 trillion more in economic growth than his proposal does, not on climate just on the economy.
325	Climate Change	TRUMP	The families that we're talking about are employed heavily and they are making a lot of money, more money than they've ever made. If you look at the kind of numbers that we produce for Hispanic, or Black, or Asian, it's nice times greater, the percentage gain than it was under-- in three years-- than it was under eight years of the two of them, to put it nicely. Nine times more.
325	Climate Change	TRUMP	Now, somebody lives-- I have not heard the numbers or the statistics that you're saying-- But they're making a tremendous amount of money. Economically, we saved it. And I saved it again a number of months ago when oil was crashing because of the pandemic. We saved it. We got-- Say what you want of that relationship, we got Saudi Arabia, Mexico and Russia to cut back, way back. We saved our oil industry and now it's very vibrant and everybody has very inexpensive gasoline. Remember that.
350	Final Question	TRUMP	We have to make our country totally successful, as it was prior to the plague coming in from China. Now we're rebuilding it and we're doing record numbers,  11.4 million jobs in a short period of time etc.. But, I will tell you, go back before the plague came in, just before, I was getting calls from people that were not normally people that would call me. They wanted to get together.
350	Final Question	TRUMP	We had the best Black unemployment numbers in the history of our country, Hispanic, women, Asian, people with diplomas, with no diplomas MIT graduates, number one in the class-- everybody had the best numbers. And you know what? The other side wanted to get together. They wanted to unify. Success is going to bring us together. We are on the road to success.
350	Final Question	TRUMP	But I’m cutting taxes and he wants to raise everybody’s taxes. And he wants to put new regulations on everything. He will kill it. If he gets in, you will have a depression, the likes of which you've never seen. Your 401K's will go to hell and it'll be a very, very sad day for this country.
352	Final Question	BIDEN	I will say, ‘I’m the American president. I represent all of you whether you voted for me or against me. And I'm going to make sure that you’re represented. I’m going to give you hope. We're going to move. We're going to choose science over fiction. We're going to choose hope over fear. We're going to choose to move forward because we have enormous opportunities, enormous opportunities to make things better.  We can grow this economy. We can deal with a systemic racism.
352	Final Question	BIDEN	At the same time, we can make sure that our economy is being run, and moved, and motivated by clean energy, creating millions of new jobs. And that's the fact, that's what we're going to do. And I'm going to say, as I said at the beginning, what is on the ballot here is the character of this country. Decency. Honor. Respect. Treating people with dignity. Making sure that everyone has an even chance. Now, I'm going to make sure you get that. You haven't been getting it the last four years.
