Topic	Text
COVID-19	And of course the CDC has said young people can get sick with COVID-19 and can pass it.
COVID-19	Vice President Biden, I want to talk broadly about strategy, though.
COVID-19	Can I respond to that?
COVID-19	30 seconds please, and then I have a question.
COVID-19	Number one.
COVID-19	He says that we're, you know, we're learning to live with it.
COVID-19	People are learning to die with it.
COVID-19	You folks home will have an empty chair at the kitchen table this morning.
COVID-19	That man or wife going to bed tonight and reaching over to try to touch their, out of habit, where their wife or husband was, is gone.
COVID-19	Learning to live with it?
COVID-19	Come on.
COVID-19	We're dying with it, because he's never said — he said it's dangerous.
COVID-19	When's the last time?
COVID-19	Is it really dangerous, still?
COVID-19	Are we dangerous?
COVID-19	Tell the people, is it dangerous now?
COVID-19	What should they do about the danger?
COVID-19	And you say, I take no responsibility.
COVID-19	Let me talk about —
COVID-19	Excuse me.
COVID-19	Very quickly.
COVID-19	I take full responsibility.
COVID-19	It's not my fault that it came here.
COVID-19	It's China's fault.
COVID-19	You know what, it's not Joe's fault that it came here either.
COVID-19	It's China's fault.
COVID-19	They kept it from going into the rest of China, for the most part, but they didn't keep it from coming out to the world including Europe and ourselves
COVID-19	Vice President Biden.
COVID-19	as tracked is that when we knew was coming, when it hit.
COVID-19	The fact is, when we knew it was coming, when it hit — What happened?
COVID-19	What did the President say?
COVID-19	He said don't worry, it's going to go away, it’s going to be gone by Easter.
COVID-19	Don't worry, the warm weather.
COVID-19	Don't worry, maybe inject bleach — he said he was kidding when he said that, but a lot of people thought it was serious.
COVID-19	A whole range of things the President said.
COVID-19	And even today, he thinks we are in control.
COVID-19	We're about to lose 200,000 more people
COVID-19	President Trump.
COVID-19	Look, perhaps just to finish this, I was kidding on that but just to finish this.
COVID-19	When I closed, he said, I shouldn't have closed.
COVID-19	And that went on for months.
COVID-19	What Nancy Pelosi said the same thing.
COVID-19	She was dancing on the streets in Chinatown in San Francisco.
COVID-19	But when I closed, he said, this is a terrible thing.
COVID-19	You’re xenophobic.
COVID-19	I think he called me racist, even, and because I was closing it to China.
COVID-19	Now he says I should have closed it earlier.
COVID-19	It just Joe, it doesn't —
COVID-19	I didn't say either of those things.
COVID-19	You certainly did.
COVID-19	I talked about his xenophobia in a different context.
COVID-19	It wasn't about closing the border to Chinese coming to the United States.
COVID-19	All right, I want to talk about both of your different strategies to handling this.
COVID-19	He thought I shouldn't have closed the border.
COVID-19	That’s obvious.
COVID-19	Do you wanna respond to that quickly, vice president?
COVID-19	No.
COVID-19	OK, let's talk about your different strategies toward dealing with this.
COVID-19	Mr. Vice President, you suggested you would support new shutdowns if scientists recommended it.
COVID-19	What do you say to Americans who are fearful that the cost of shutdowns, the impact on the economy, the higher rates of hunger depression, domestic and substance abuse, outweighs the risk of exposure to the virus?
COVID-19	What I would say is I'm going to shut down the virus, not the country.
COVID-19	It’s his ineptitude that caused the country to have to shut down in large part — why businesses have gone under, why schools are closed, why so many people have lost their living and why they're concerned.
COVID-19	Those other concerns are real.
COVID-19	That's why he should have been — instead of in a sand trap at his golf course — he should have been negotiating with Nancy Pelosi and the rest of the Democrats and Republicans about what to do about the acts they were passing for billions of dollars to make sure people had the capacity.
COVID-19	You haven't ruled out more shutdowns
COVID-19	Oh no, I'm not shutting down the nation but there are, look, they need standards.
COVID-19	The standard is, if you have a reproduction rate in a community that's above a certain level, everybody says, slow up.
COVID-19	More social distancing.
COVID-19	Do not open bars and do not open gymnasiums.
COVID-19	Do not open until you get this under control, under more control.
COVID-19	But when you do open, give the people the capacity to be able to open and have the capacity to do it safely.
COVID-19	For example schools — schools, they need a lot of money to open.
COVID-19	They need to deal with ventilation systems, they need to deal with smaller classes, more teacher, more pods, and he's refused to support that money, or at least up to now
COVID-19	Let's talk about schools.
COVID-19	President Trump —
COVID-19	Well, I think we have to respond, if I might.
COVID-19	Please, and then I have a follow up.
COVID-19	Thank you, and I appreciate that.
COVID-19	Look, all he does is talk about shutdowns but forget about him.
COVID-19	His democrat governors — Cuomo in New York, you look at what's going on in California, you look at Pennsylvania, North Carolina, Democrats, Democrats all — they are shut down so tight, and they're dying.
COVID-19	They're dying.
COVID-19	And he supports all these people.
COVID-19	All he talks about is shutdowns No, we're not going to shut down, and we have to open our schools.
COVID-19	And it's like, as an example, I have a young son.
COVID-19	He also tested positive.
COVID-19	By the time I spoke to the doctor, the second time, he was fine, it just went away.
COVID-19	Young people, I guess it’s their immune system.
COVID-19	Let me follow up, President Trump.
COVID-19	You've demanded schools open in person and insisted they can do it safely.
COVID-19	But just yesterday, Boston became the latest city to move its public school system entirely online after a coronavirus spike.
COVID-19	What is your message to parents who worry that sending their children to school will endanger not only their kids, but also their teachers and families?
COVID-19	I want to open the schools.
COVID-19	The transmittal rate to the teachers is very small, but I want to open the schools.
COVID-19	We have to open our country.
COVID-19	We're not going to have a country.
COVID-19	You can't do this, we can't keep this country closed.
COVID-19	It is a massive country with a massive economy.
COVID-19	People are losing their jobs, they're committing suicide.
COVID-19	There's depression, alcohol, drugs at a level that nobody's ever seen before.
COVID-19	There's abuse, tremendous abuse.
COVID-19	We have to open our country.
COVID-19	You know I've said it often — the cure cannot be worse than the problem itself, and that's what's happening, and he wants to close down.
COVID-19	He'll close down the country if one person in our, in our massive bureaucracy says we should close it down.
COVID-19	Vice President Biden, your —
COVID-19	Simply not true.
COVID-19	We're gonna be able to walk and chew gum at the same time.
COVID-19	We ought to be able to safely open, but we need resources to open.
COVID-19	You need to be able to, for example, if you're gonna open a business, have social distancing within the business.
COVID-19	You need to have, if you have a restaurant, you need to have plexiglass dividers so people cannot infect one another.
COVID-19	You need to be in a position where you can take testing rapidly and know whether a person is, in fact, infected.
COVID-19	You need to be able to trace.
COVID-19	You need to be able to provide all the resources that are needed to do this and that is not inconsistent with saying that we're going to make sure that we open safely.
COVID-19	And by the way, all you teachers out there — not that many of you are going to die, so don't worry about it.
COVID-19	Don't worry about it.
COVID-19	Come on.
COVID-19	President Trump, let me follow up with you quickly.
COVID-19	I will say this, if you go and look at what's happened to New York, ut's a ghost town.
COVID-19	It's a ghost town.
COVID-19	And when you talk about plexiglas — these are restaurants that are dying.
COVID-19	These are businesses with no money.
COVID-19	Putting the plexiglas is unbelievably expensive, and it's not the answer.
COVID-19	I mean, you're going to sit there in a cubicle wrapped around with plastic?
COVID-19	These are businesses that are dying, Joe, you can't do that to people, which again, take a look at New York and what's happened to my wonderful city.
COVID-19	For so many years, I loved it.
COVID-19	It was vibrant.
COVID-19	It's dying.
COVID-19	Everyone's leaving New York.
COVID-19	Vice President.
COVID-19	New York has lost more than 40,000 people.
COVID-19	11,000 people in nursing.
COVID-19	President Trump, what about —
COVID-19	When you say spike, take a look at what's happening in Pennsylvania, where they've had it closed.
COVID-19	Take a look at what's happening with your friend in Michigan, where her husband's the only one allowed to do anything.
COVID-19	It's been like a prison.
COVID-19	Now it was just ruled unconstitutional.
COVID-19	Take a look at North Carolina.
COVID-19	They're having spikes and they've been closed, and they're getting killed financially.
COVID-19	We can't let that happen, Joe, you can't let that happen.
COVID-19	We have to open up and we understand that disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them.
COVID-19	We have the best testing in the world by far.
COVID-19	That's why we have so many cases.
COVID-19	Let me follow up with you before we move on to our next section.
COVID-19	President Trump, this week you called Dr. Anthony Fauci, the nation's best known infectious disease expert, “a disaster.” You described him and other medical experts as “idiots.” If you're not listening to them, who are you listening to?
COVID-19	I'm listening to all of them, including Anthony.
COVID-19	I get along very well with Anthony.
COVID-19	But he did say, ‘don't wear masks.’ He did say, as you know, ‘this is not going to be a problem.’ I think he's a Democrat, but that's okay.
COVID-19	He said, ‘this is not going to be a problem.
COVID-19	We are not going to have a problem at all.’ When Joe says that, I said — Anthony Fauci said and others and many others.
COVID-19	And I'm not knocking him.
COVID-19	Nobody knew.
COVID-19	Look, nobody knew what this thing was, nobody knew where it was coming from, what it was.
COVID-19	We've learned a lot, but Anthony said, ‘don't wear masks.’ Now he wants to wear masks.
COVID-19	Anthony also said, if you look back, exact words, here’s his exact words: ‘This is no problem, this is going to go away soon.’ So he's allowed to make mistakes, he happens to be a good person.
COVID-19	Vice President Biden, your response, quickly and then we're going to move on to the next section.
COVID-19	My response is think about what the President knew in January and didn't tell the American people.
COVID-19	He was told this was a serious virus that spread in the air, and it was much worse than — much worse — than the flu.
COVID-19	He went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn't want to tell us, didn't want to tell us because he didn't want us to panic.
COVID-19	He didn't want us — Americans don't panic.
COVID-19	He panicked.
COVID-19	Well, guess what, in the meantime, we find out in the New York Times the other day that in fact, his folks went to Wall Street and said, ‘this is a really dangerous thing,’ and a memo out of that meeting — not from his administration, but from some of the brokers — had said, ‘sell short, because we gotta get moving.
COVID-19	It's a dangerous problem.’
COVID-19	Well this is —
COVID-19	I’m going to give you 30 seconds to respond and then we're gonna move on.
COVID-19	I don't know if somebody went to Wall Street.
COVID-19	You're the one that takes all the money from Wall Street.
COVID-19	I don't take it.
COVID-19	You have raised a lot of money, tremendous amounts of money.
COVID-19	And every time you raise money, deals are made.
COVID-19	I could raise so much more money.
COVID-19	As president and as somebody that knows most of those people, I could call the heads of Wall Street, the heads of every company in America, I would blow away every record.
COVID-19	But I don't want to do that because it puts me in a bad position.
COVID-19	And then you bring up Wall Street?
COVID-19	You shouldn't be bringing up Wall Street.
COVID-19	Because you're the one that takes the money from Wall Street, not me.
COVID-19	I could blow away your records like you wouldn't believe.
COVID-19	We don't need money.
COVID-19	We have plenty of money.
COVID-19	In fact, we beat Hillary Clinton with a tiny fraction of the money that she was able to get.
COVID-19	Don’t tell me about wall street.
COVID-19	All right, gentlemen, we're gonna move on.
COVID-19	Average contribution, $43.
	
National Security	Well, let me respond to the first part, as Joe answered.
National Security	Joe got three and a half million dollars from Russia.
National Security	And it came through Putin, because he was very friendly with the former mayor of Moscow and it was the mayor of Moscow’s wife.
National Security	He got three and a half million dollars.
National Security	Your family got three and a half million dollars and you know someday, you're gonna have to explain — why did you get three and a half?
National Security	I never got any money from Russia.
National Security	I don't get money from Russia.
National Security	Now, about your thing last night, I knew all about that, and through John — who is John Radcliffe, who is a fantastic DNI — he said, the one thing that's common to both of them, they both want you to lose.
National Security	Because there has been nobody tougher to Russia.
National Security	Between the sanctions, nobody tougher than me on Russia.
National Security	Between the sanctions between all of what I've done with NATO.
National Security	You know, I've got the NATO countries to put up an extra 130 billion, going to $420 billion a year, that's to guard against Russia.
National Security	I sold — while he was selling pillows and sheets — I sold tank busters to Ukraine.
National Security	There has been nobody tougher on Russia than Donald Trump.
National Security	And I'll tell you, they were so bad.
National Security	They took over the, the submarine port.
National Security	You remember that very well during your term, during you and Barack Obama.
National Security	They took over a big part of what should have been Ukraine.
National Security	You handed it to them.
National Security	But you were getting a lot of money from Russia.
National Security	They were paying you a lot of money and they probably still are, but now, with what came out today, it's even worse.
National Security	All of the emails, the emails are horrible.
National Security	The emails of the kind of money that you were raking in, you and your family.
National Security	And Joe, you were vice president when some of this was happening.
National Security	And it should have never happened.
National Security	And I think you owe an explanation to the American people.
National Security	Why is it, somebody just had a news conference a little while ago, who was essentially supposed to work with you and your family, but what he said was damning.
National Security	And regardless of me, I think you have to clean it up and talk to the American people.
National Security	Maybe you can do it right now.
National Security	Vice President Biden, you may respond to follow up on the election security.
National Security	I have not taken a penny from any foreign source ever in my life.
National Security	We learn that this President paid 50 times the tax in China, as a secret bank account with China, does business in China, and in fact, is talking about me taking money?
National Security	I have not taken a single penny from any country whatsoever, ever, number one.
National Security	Number two, this is a president — I have released all of my tax returns.
National Security	22 years.
National Security	Go look at them.
National Security	22 years of my tax return.
National Security	You have not released a single solitary year of your tax return.
National Security	What are you hiding?
National Security	Why are you unwilling?
National Security	The foreign countries are paying you a lot.
National Security	Russia is paying you a lot.
National Security	China is paying a lot.
National Security	And your hotels and all your businesses all around the country, all around the world.
National Security	And China's building a new road to a new gas… a golf course you have overseas.
National Security	So what's going on here?
National Security	Why don't you release your tax return or stop talking about corruption?
National Security	President Trump, your response.
National Security	First of all, I called my accounts — under audit.
National Security	I'm going to release them as soon as we can.
National Security	I want to do it, and it will show how successful, how great this company is.
National Security	But much more importantly than that, people were saying $750.
National Security	I asked them a week ago, I said, what did I pay?
National Security	They said, sir, you pre-paid tens of millions of dollars.
National Security	I prepaid my tax.
National Security	Tens.
National Security	Over the last number of years.
National Security	Tens of millions of dollars, I prepaid, because at some point, they think, it's an estimate.
National Security	They think I may have to pay tax.
National Security	So, I already prepaid it.
National Security	Nobody told me that.
National Security	Did your accountant tell you —
National Security	Excuse me.
National Security	And it wasn't written whenever they write this.
National Security	They keep talking about $750, which I think is a filing fee.
National Security	But let me just tell you, I prepaid millions and millions of dollars in taxes, number one.
National Security	Number two, I don't make money from China, you do.
National Security	I don't make money from Ukraine, you do.
National Security	I don't make money from Russia.
National Security	You made three and a half million dollars, Joe, and your son gave you.
National Security	They even have a statement that we have to give 10% to the big man.
National Security	You're the big man, I think.
National Security	I don't know, maybe you're not.
National Security	But you're the big man, I think.
National Security	You son said that we have to give 10% to the big man.
National Security	Joe, what's that all about?
National Security	It's terrible.
National Security	All right, gentlemen, I want to ask you both some questions about all of this.
National Security	I'm gonna let you both respond, very quickly.
National Security	You just said you spoke to your accountant about potentially releasing your taxes.
National Security	Did he tell you when you can release them?
National Security	Do you have a deadline for when you're going to release them to the American people?
National Security	I get treated worse than the Tea Party got treated.
National Security	A lot of people in there, deep down in the IRS, they treat me horribly.
National Security	We made a deal, it was all settled, until I decided to run for president.
National Security	I get treated very badly by the IRS, very unfairly, but we had a deal all done.
National Security	As soon as we're completed with the deal, I want to release it.
National Security	But I have paid millions and millions of dollars.
National Security	And it's worse than paying.
National Security	I paid in advance.
National Security	It's called prepaying your taxes.
National Security	I paid.
National Security	I want to ask you both about questions regarding your potential foreign entanglements and questions that have been raised to give you both a chance to talk about this more broadly.
National Security	At some point I want to respond.
National Security	Respond very quickly, and then I'll get to my question.
National Security	Why do he — He's been saying this for four years.
National Security	Show us.
National Security	Just show us.
National Security	Stop playing around.
National Security	You’ve been saying for four years you’re going to release your taxes.
National Security	Nobody knows, Mr. President, they do know is you're not paying your taxes or you're paying taxes that are so low.
National Security	When last time he said what he paid, he said, ‘I only pay that little because I'm smart.
National Security	I know how to game the system.’ Come on, come on, folks.
National Security	Quickly, President Trump, and then I want to get to two questions to both of you.
National Security	I was put through a phony witch hunt for three years.
National Security	It started before I even got elected.
National Security	They spied on my campaign.
National Security	No president should ever have to go through what I went through.
National Security	Let me just say this.
National Security	Mueller and 18 angry Democrats, and FBI agents all over the place spent, $48 million.
National Security	They went through everything I had, including my tax returns, and they found absolutely no collusion and nothing wrong.
National Security	$48 million.
National Security	I guarantee you, if I spent 1 million on you Joe, I could find plenty wrong, because the kind of things that you've done and the kind of monies that your family has taken — I mean, your brother made money in Iraq, millions of dollars.
National Security	Your other brother made a fortune, and it's all through you, Joe.
National Security	And they say you get some of it.
National Security	And you do live very well.
National Security	You have houses all over the place.
National Security	You live very well.
National Security	All right, gentlemen, let me just ask some questions about all of this broadly.
National Security	Vice President Biden, there have been questions about the work your son has done in China, and for Ukrainian energy company when you were Vice President.
National Security	In retrospect, was anything about those relationships inappropriate or unethical?
National Security	Nothing was unethical.
National Security	Here's what the deal.
National Security	With regard to Ukraine, we had this whole question about whether or not, because he was on the board, I later learned, of Burisma, a company, that somehow I had done something wrong.
National Security	Yet every single solitary person, when he was going through his impeachment, testifying under oath who worked for him, said I did my job impeccably.
National Security	I carried out US policy.
National Security	Not one, single, solitary thing was out of line.
National Security	Not a single thing, number one.
National Security	Number two, the guy who got in trouble in Ukraine was this guy, trying to bribe the Ukrainian government to say something negative about me, which they would not do, and did not do, because it never, ever, ever happened.
National Security	My son has not made money in terms of this thing about — what are you talking about — China.
National Security	I have not had it.
National Security	The only guy that made money from China is this guy.
National Security	He’s the only one.
National Security	Nobody else has made money from China.
National Security	Let me ask my question to you.
National Security	Could I just — one thing.
National Security	Very quickly.
National Security	His son didn't have a job for a long time, was sadly no longer in the military service, I won't get into that.
National Security	And he didn't have a job.
National Security	As soon as he became vice president, Burisma — not the best, not the best reputation in the world — I hear they paid him 183,000 a month.
National Security	Listen to this, 183, and they gave him a $3 million upfront payment, and he had no energy experience.
National Security	That’s 100% dishonest.
National Security	I’m going to let the vice president respond to that quickly and then I have a question for you.
National Security	No basis for that.
National Security	Everybody investigated that, no one said anything he did was wrong in Ukraine.
National Security	OK, President Trump, this is for you.
National Security	Since you took office, you've never divested from your business.
National Security	You've personally promoted your properties abroad.
National Security	A report this week, which was referenced, does indicate that your company has a bank account in China.
National Security	So how can voters know that you don't have any foreign conflicts of interest?
National Security	I have many bank accounts and they're all listed and they're all over the place.
National Security	I mean, I was a businessman doing business.
National Security	The bank account you're referring to — which is, everybody knows about it, it's listed — the bank account was in 2013.
National Security	That's what it was.
National Security	It was opened.
National Security	It was closed in 2015, I believe, and then I decided, because I was going to do, I was thinking about doing a deal in China, like millions of other people, I was thinking about it.
National Security	And I decided I'm not going to do it, didn't like it, I decided not to do it, had an account open and I closed it.
National Security	OK.
National Security	Excuse me, and then unlike him, where he's Vice President, and he does business, I then decided to run for president after that.
National Security	That was before.
National Security	So I closed it before I even ran for president, let alone became president, big difference.
National Security	He is the Vice President of the United States, and his son, his brother and his other brother are getting rich, they're like a vacuum cleaner, there's something —
National Security	We do need to move on.
National Security	I do want to ask you, Vice President Biden, about China.
National Security	Let's talk about China more broadly.
National Security	There have, of course, President Trump has said that they should pay for not being fully transparent in regards to the coronavirus.
National Security	If you were president, would you make China pay and please be specific, what would that look like?
National Security	All right, let's talk about North Korea.
National Security	Excuse me, no, I have to respond to this.
National Security	OK, very quickly and then we're gonna have...
National Security	His son walked out with a billion and a half dollars from China —
National Security	Not true.
National Security	after spending 10 minutes in office and being an Air Force Two, number one.
National Security	Number two, there's a very strong email, talking about your family wanting to make $10 million a year for introductions.
National Security	That is not true.
National Security	President Trump, on China policy, though.
National Security	What are you gonna do?
National Security	What specifically are you going to do to make China pay?
National Security	First of all, China is paying.
National Security	They’re paying billions and billions of dollars.
National Security	I just gave $28 billion.
National Security	Through sanctions?
National Security	I just gave $28 billion to our farmers.
National Security	Taxpayers money.
National Security	It’s what?
National Security	Taxpayers money.
National Security	No, the taxpayers.
National Security	It's called China.
National Security	Not true.
National Security	China pays for $28 billion and you know what they did to pay it, Joe?
National Security	They devalued their currency and they also paid up, and you know who got the money?
National Security	Our farmers.
National Security	Our great farmers, because they would target it.
National Security	You never charge them anything.
National Security	Also, I charged them 25% on dumped steel, because they were killing our steel industry.
National Security	We were not going to have a steel, and now we have a steel industry
National Security	OK, Vice President Biden, your response, please?
National Security	This isn't about me.
National Security	There's a reason why he's bringing up all this malarkey.
National Security	There's a reason for it.
National Security	He doesn't want to talk about the substantive issues.
National Security	It's not about his family and my family.
National Security	It's about your family, and your family's hurting badly.
National Security	If you're making less than, if you're a middle class family, you're getting hurt badly right now.
National Security	You're sitting at the kitchen table this morning deciding, well, we can't get new tires, they’re bald, because we have to wait another month.
National Security	Or, so are we going to be able to pay the mortgage?
National Security	Who's going to tell her, she can't go back to community college?
National Security	They're the decisions you're making in the middle class families like I grew up in Scranton and Claymot.
National Security	They're in trouble.
National Security	We should be talking about your families but that's the last thing he wants to talk about.
National Security	I wanted to say, I want to tell —
National Security	That is a typical statement.
National Security	Just 10 seconds, please.
National Security	10 seconds Mr President, 10 seconds.
National Security	Just a typical political statement.
National Security	Let's get off this China thing, and then he looks — the family, around the table, everything.
National Security	Just a typical politician when I see that.
National Security	All right, let’s talk —
National Security	I’m not a typical politician, that’s why I got elected.
National Security	Let’s talk about —
National Security	Let’s get off the subject of China, let's talk around sitting around the table.
National Security	Come on, Joe, you can do better.
National Security	We're gonna talk about North Korea now.
National Security	President Trump, you've met with North Korean leader Kim Jong Un's three times.
National Security	You've talked about your beautiful letters with him, you've touted the fact that there hasn't been a war or a long range missile test, and yet North Korea recently rolled out its biggest ever intercontinental ballistic missile and continues to develop its nuclear arsenal.
National Security	Do you see that as a betrayal of the relationship?
National Security	Just 30 seconds here because we need to get on to the next topic.
National Security	Vice President Biden, North Korea conducted four nuclear tests under the Obama administration.
National Security	Why do you think you would be able to rein in this persistent threat?
National Security	Because I'd make it clear, which we were making clear to China, they had to be part of the deal, because here's the root.
National Security	I made it clear, as a spokesperson for the administration when I went to China, they said, ‘Why are you moving your missile defense up so close?
National Security	Why are you moving more forces?
National Security	Why are you continuing to do military maneuvers with South Korea?’ I said, ‘Because North Korea is a problem.
National Security	And we're going to continue to do it so we can control them.
National Security	We're going to make sure we can control them and make sure they can not hurt us.
National Security	And so if you want to do something about it, step up.
National Security	And help if not, it's going to continue.’ What has he done?
National Security	He's legitimized North Korea, he's talked about his good buddy who's a thug, a thug, and he talks about how we're better off, and they have much more capable missiles, able to reach U.S. territory, much more easily than ever did before.
National Security	Let me follow up with you, Vice President Biden, you've said you wouldn't meet with Kim Jong Un without preconditions.
National Security	Are there any conditions under which you would meet with him?
National Security	On the condition that he would agree that he would be drawing down his nuclear capacity to get there.
National Security	The Korean Peninsula should be a nuclear free zone.
National Security	All right, let's move on to American families.
National Security	Kristen, they tried to meet with him.
National Security	Very quickly.
National Security	10 seconds, President Trump.
National Security	They tried to meet with him, he wouldn’t do it.
National Security	He didn’t like Obama.
National Security	He didn’t like him.
National Security	He wouldn’t do it.
National Security	OK, I’ve got to give him a chance to respond.
National Security	They tried, he wouldn’t do it.
National Security	And that’s okay.
National Security	You know what, North Korea, we’re not in a war.
National Security	We have a good relationship.
National Security	You know, people don’t understand — having a good relationship with leaders of other countries is a good thing.
National Security	President Trump, we have to move on.
National Security	We have a lot of questions to get through.
National Security	We had a good relationship with Hitler before he in fact invaded Europe, the rest of Europe.
National Security	Come on.
National Security	The reason he would not meet with President Obama is because President Obama said we’re gonna talk about denuclearization, we’re not gonna legitimize you, we’re gonna continue to put stronger and stronger sanctions on you.
National Security	That’s why he wouldn’t meet with us.
National Security	And it didn’t happen.
National Security	Let’s move on and talk about American families.
National Security	Excuse me, he left me a mess, Kristen.
National Security	They left me a mess.
National Security	North Korea was a mess.
National Security	We need to move on so that we have time to get to all our questions tonight, President Trump.
National Security	Remember the first two or three months.
National Security	There was a very dangerous period in my first three months, before we sort of worked things out a little bit.
National Security	They left us a mess, and Obama would be – I think, the first to say — it was the single biggest problem, he thought, that our country had.
	
Economy	I have a follow up for you, Vice President Biden, it relates to something that President Trump said.
Economy	He's accusing you of wanting socialized medicine.
Economy	What do you say to people who have concerns that your health care plan, which includes a government insurance option, takes the country one step closer to a health care system run entirely by the government?
Economy	What he’s saying, it's ridiculous.
Economy	It’s like saying that, you know, we're the idea that, the fact that there's a public option that people can choose, that makes the socialist plan?
Economy	Look, the difference between the president -- I think health care is not a privilege, it's a right.
Economy	Everyone should have the right to have affordable health care.
Economy	And I am very proud of my plan.
Economy	It's gotten endorsed by all the major labor unions as well as, as well as a whole range of other people who in fact, are concerned in the medical field.
Economy	This is something that's going to save people's lives.
Economy	And this is going to give some people an opportunity, an opportunity to have health care for their children, how many of you home are worried and rolling around in bed at night wondering what in God's name are you going to do if you get sick?
Economy	Because you've lost your home insurance, your health insurance, your company's gone under.
Economy	We have to provide health insurance for people at an affordable rate, and that's what I do.
